generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.2244642857142857,0.05948348201000538,0.1071428571428571,0.3392857142857143,3.3,1.4736747170651914,1.0,6.0,100.0,31.0,2.446428571428572
2,0.21964285714285714,0.07149618012466162,0.1071428571428571,0.3392857142857143,2.35,1.1043989178267832,1.0,5.0,100.0,15.0,2.5357142857142856
3,0.16499999999999995,0.08165912526865148,0.1071428571428571,0.2857142857142857,3.01,1.3743317935592843,1.0,4.0,100.0,6.0,2.5357142857142856
4,0.17428571428571427,0.08376203888956084,0.1071428571428571,0.2857142857142857,2.85,1.4097424365371631,1.0,4.0,100.0,5.0,2.5357142857142856
5,0.17285714285714285,0.08196464135520969,0.1071428571428571,0.2857142857142857,2.86,1.3781850163871103,1.0,4.0,100.0,5.0,2.5357142857142856
6,0.17321428571428568,0.08175294875399422,0.1071428571428571,0.2857142857142857,2.85,1.3734495390671027,1.0,4.0,100.0,5.0,2.5357142857142856
7,0.14053571428571426,0.06084332903875193,0.1071428571428571,0.2857142857142857,3.37,1.069834311725631,1.0,4.0,100.0,10.0,2.5892857142857144
8,0.12178571428571427,0.03759307832885649,0.0892857142857143,0.3392857142857143,3.67,0.6971080231639828,1.0,4.0,100.0,7.000000000000001,2.7321428571428568
9,0.13107142857142856,0.05033002810986999,0.0892857142857143,0.2857142857142857,3.4,0.9949366763261821,1.0,4.0,100.0,7.000000000000001,2.7321428571428568
10,0.1694642857142857,0.0698091587518434,0.0892857142857143,0.2857142857142857,2.39,1.1797534411130919,1.0,4.0,100.0,7.000000000000001,2.7321428571428568
11,0.18142857142857147,0.07105421379975503,0.0892857142857143,0.25,1.93,0.8791065253018446,1.0,3.0,100.0,3.0,2.7321428571428568
12,0.18464285714285716,0.06919394109479568,0.0892857142857143,0.25,1.9,0.8587046857760456,1.0,3.0,100.0,3.0,2.7321428571428568
13,0.17714285714285716,0.07082537515773402,0.0892857142857143,0.25,1.99,0.8703302519588455,1.0,3.0,100.0,3.0,2.7321428571428568
14,0.17500000000000004,0.07061221808744007,0.0892857142857143,0.25,2.02,0.8643325211229224,1.0,3.0,100.0,3.0,2.7321428571428568
15,0.1792857142857143,0.06847802079570112,0.0892857142857143,0.25,1.98,0.8406346808612327,1.0,3.0,100.0,3.0,2.7321428571428568
16,0.17607142857142857,0.06495859963121307,0.0892857142857143,0.25,2.05,0.7833494518006403,1.0,3.0,100.0,3.0,2.7321428571428568
17,0.1755357142857143,0.06320107720248705,0.0892857142857143,0.25,2.07,0.7555184185763315,1.0,3.0,100.0,3.0,2.7321428571428568
18,0.16910714285714287,0.0661591204655807,0.0892857142857143,0.25,2.13,0.786951668968895,1.0,3.0,100.0,3.0,2.7321428571428568
