generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.23,0.04368783683359152,0.0892857142857143,0.3214285714285714,3.54,1.298172764023543,1.0,7.0,100.0,37.0,2.6428571428571432
2,0.22357142857142862,0.06378068418509268,0.0892857142857143,0.4642857142857143,2.81,1.3080558478177073,1.0,6.0,100.0,23.0,2.7321428571428568
3,0.19982142857142854,0.07718068490261468,0.0892857142857143,0.4107142857142857,2.46,1.4028830343548988,1.0,6.0,100.0,18.0,2.7321428571428568
4,0.1480357142857143,0.07906081195648783,0.0892857142857143,0.2857142857142857,2.38,0.9187167158816715,1.0,4.0,100.0,8.0,2.7321428571428568
5,0.13910714285714285,0.07112557488412591,0.0892857142857143,0.25,2.41,0.8656754238130706,1.0,3.0,100.0,3.0,2.7321428571428568
6,0.14607142857142857,0.07176059197287077,0.0892857142857143,0.25,2.34,0.867132741810152,1.0,3.0,100.0,3.0,2.7321428571428568
7,0.1482142857142857,0.06789131060495611,0.0892857142857143,0.25,2.35,0.7961396760860395,1.0,3.0,100.0,3.0,2.7321428571428568
8,0.15678571428571428,0.06921069710450849,0.0892857142857143,0.25,2.25,0.8211226608993472,1.0,3.0,100.0,3.0,2.7321428571428568
9,0.1519642857142857,0.06552511945924572,0.0892857142857143,0.25,2.33,0.7528397417562896,1.0,3.0,100.0,3.0,2.7321428571428568
10,0.15249999999999997,0.06610871183948501,0.0892857142857143,0.25,2.32,0.7638287395970013,1.0,3.0,100.0,3.0,2.7321428571428568
11,0.1525,0.06868936016859566,0.0892857142857143,0.25,2.3,0.8102873913406629,1.0,3.0,100.0,3.0,2.7321428571428568
12,0.16053571428571428,0.06640404169361042,0.0892857142857143,0.25,2.23,0.7766152928775696,1.0,3.0,100.0,3.0,2.7321428571428568
13,0.1642857142857143,0.06724777654937654,0.0892857142857143,0.25,2.18,0.7962031109832428,1.0,3.0,100.0,3.0,2.7321428571428568
14,0.17285714285714288,0.06651962758037872,0.0892857142857143,0.25,2.08,0.8,1.0,3.0,100.0,3.0,2.7321428571428568
15,0.17660714285714285,0.06534791645897178,0.0892857142857143,0.25,2.04,0.7903457880234857,1.0,3.0,100.0,3.0,2.7321428571428568
16,0.17232142857142857,0.06342085992083621,0.0892857142857143,0.25,2.11,0.7506899183653352,1.0,3.0,100.0,3.0,2.7321428571428568
17,0.16589285714285715,0.06336598570773147,0.0892857142857143,0.25,2.19,0.7343656645656367,1.0,3.0,100.0,3.0,2.7321428571428568
18,0.1594642857142857,0.06124434395148858,0.0892857142857143,0.25,2.28,0.6828342597311783,1.0,3.0,100.0,3.0,2.7321428571428568
19,0.15357142857142855,0.05898020170319787,0.0892857142857143,0.25,2.36,0.6279677016721754,1.0,3.0,100.0,3.0,2.7321428571428568
20,0.1519642857142857,0.05700826275430124,0.0892857142857143,0.25,2.39,0.584220105194208,1.0,3.0,100.0,3.0,2.7321428571428568
21,0.15357142857142855,0.057486789641642104,0.0892857142857143,0.25,2.37,0.5972157622389639,1.0,3.0,100.0,3.0,2.7321428571428568
22,0.15410714285714286,0.05961329853129311,0.0892857142857143,0.25,2.35,0.6415731927193978,1.0,3.0,100.0,3.0,2.7321428571428568
23,0.16107142857142853,0.06006142495886233,0.0892857142857143,0.25,2.27,0.6644660649838722,1.0,3.0,100.0,3.0,2.7321428571428568
