generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.22857142857142856,0.05664010436419708,0.0892857142857143,0.4107142857142857,3.7,1.3962431555767605,1.0,7.0,100.0,49.0,2.7142857142857144
2,0.19714285714285715,0.07364525779065863,0.0892857142857143,0.4107142857142857,3.6,1.5242153139344596,1.0,6.0,100.0,23.0,2.732142857142857
3,0.1623214285714286,0.06253709474323166,0.0892857142857143,0.4107142857142857,3.73,1.3246306899081208,1.0,6.0,100.0,16.0,2.75
4,0.15089285714285716,0.06035005551086853,0.0892857142857143,0.3035714285714286,3.19,1.2767936482462703,1.0,5.0,100.0,13.0,2.75
5,0.1292857142857143,0.062383678602732834,0.0892857142857143,0.25,2.53,0.8698658900466594,1.0,4.0,100.0,7.000000000000001,2.75
6,0.13857142857142857,0.06768319011299159,0.0892857142857143,0.2321428571428571,2.32,0.9415225151129667,1.0,3.0,100.0,3.0,2.75
7,0.14214285714285713,0.06819521616455483,0.0892857142857143,0.2321428571428571,2.28,0.9436657514740325,1.0,3.0,100.0,3.0,2.75
8,0.14821428571428572,0.06760605173571752,0.0892857142857143,0.2321428571428571,2.23,0.9195409482755815,1.0,3.0,100.0,3.0,2.75
9,0.15785714285714283,0.06842155338212697,0.0892857142857143,0.2321428571428571,2.1,0.937436866561092,1.0,3.0,100.0,3.0,2.75
10,0.15285714285714283,0.06745437542797705,0.0892857142857143,0.2321428571428571,2.18,0.9143082609052572,1.0,3.0,100.0,3.0,2.75
11,0.15892857142857142,0.06586856067272043,0.0892857142857143,0.2321428571428571,2.13,0.8836906081367454,1.0,3.0,100.0,3.0,2.75
12,0.16035714285714284,0.06589202858499002,0.0892857142857143,0.2321428571428571,2.11,0.8864296789692772,1.0,3.0,100.0,3.0,2.75
13,0.1589285714285714,0.06703189227942392,0.0892857142857143,0.2321428571428571,2.11,0.9089343299499784,1.0,3.0,100.0,3.0,2.75
14,0.15892857142857142,0.06586856067272043,0.0892857142857143,0.2321428571428571,2.13,0.8836906081367454,1.0,3.0,100.0,3.0,2.75
15,0.14928571428571427,0.06635673162375658,0.0892857142857143,0.2321428571428571,2.24,0.8889898932513408,1.0,3.0,100.0,3.0,2.75
16,0.14321428571428568,0.06589202858499002,0.0892857142857143,0.2321428571428571,2.31,0.884147709218981,1.0,3.0,100.0,3.0,2.75
17,0.15,0.0658930062332847,0.0892857142857143,0.2321428571428571,2.24,0.8775539926984607,1.0,3.0,100.0,3.0,2.75
18,0.1489285714285714,0.06361583804797573,0.0892857142857143,0.2321428571428571,2.29,0.8201379534116578,1.0,3.0,100.0,3.0,2.75
19,0.16321428571428573,0.060968401236122335,0.0892857142857143,0.2321428571428571,2.15,0.7833494518006403,1.0,3.0,100.0,3.0,2.75
20,0.16178571428571428,0.06226481207982075,0.0892857142857143,0.2321428571428571,2.15,0.8087276451565163,1.0,3.0,100.0,3.0,2.75
21,0.16857142857142857,0.061457760104451205,0.0892857142857143,0.2321428571428571,2.06,0.8142667272032569,1.0,3.0,100.0,3.0,2.75
22,0.16464285714285715,0.06338047101726065,0.0892857142857143,0.2321428571428571,2.09,0.8420153793072304,1.0,3.0,100.0,3.0,2.75
23,0.15785714285714283,0.06374229190549621,0.0892857142857143,0.2321428571428571,2.18,0.8333939371902428,1.0,3.0,100.0,3.0,2.75
24,0.1575,0.06342111385770487,0.0892857142857143,0.2321428571428571,2.19,0.8250497383231333,1.0,3.0,100.0,4.0,2.75
25,0.15999999999999998,0.06440585214847273,0.0892857142857143,0.2321428571428571,2.14,0.8530397222150722,1.0,3.0,100.0,4.0,2.75
26,0.15928571428571425,0.06499131762572988,0.0892857142857143,0.2321428571428571,2.14,0.8647998542314793,1.0,3.0,100.0,4.0,2.75
27,0.14535714285714282,0.06345360938684011,0.0892857142857143,0.2321428571428571,2.33,0.8171767114754176,1.0,3.0,100.0,3.0,2.75
28,0.14214285714285713,0.06226998490772388,0.0892857142857143,0.2321428571428571,2.38,0.788554488807325,1.0,3.0,100.0,3.0,2.75
29,0.1521428571428571,0.06322273323033412,0.0892857142857143,0.2321428571428571,2.26,0.8117819282232754,1.0,3.0,100.0,3.0,2.75
30,0.1507142857142857,0.0642255610824169,0.0892857142857143,0.2321428571428571,2.26,0.8362977576162329,1.0,3.0,100.0,3.0,2.75
31,0.15857142857142856,0.06556369595416088,0.0892857142857143,0.2321428571428571,2.14,0.8764021953879441,1.0,3.0,100.0,3.0,2.75
32,0.15678571428571428,0.06518431600137013,0.0892857142857143,0.2321428571428571,2.17,0.865208563634144,1.0,3.0,100.0,3.0,2.75
