generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.21499999999999997,0.04343940682782736,0.125,0.3928571428571429,3.61,1.2135181344447483,1.0,6.0,100.0,38.0,2.4107142857142856
2,0.21107142857142855,0.05172877149967705,0.0892857142857143,0.3392857142857143,2.7,1.049290284435199,1.0,5.0,100.0,22.0,2.7321428571428568
3,0.19589285714285715,0.06483128882824808,0.0892857142857143,0.3035714285714286,2.52,1.0775955276503895,1.0,4.0,100.0,16.0,2.7321428571428568
4,0.20125,0.07643254126518881,0.0892857142857143,0.2857142857142857,2.03,1.114232987985525,1.0,4.0,100.0,9.0,2.7321428571428568
5,0.16803571428571426,0.0684862517369276,0.0892857142857143,0.25,2.21,0.9459643147859674,1.0,4.0,100.0,7.000000000000001,2.75
6,0.13107142857142853,0.05397395670574573,0.0892857142857143,0.2321428571428571,2.59,0.5522223238420327,1.0,3.0,100.0,3.0,2.75
7,0.13035714285714284,0.05428813505652861,0.0892857142857143,0.2321428571428571,2.59,0.5702205846437983,1.0,3.0,100.0,3.0,2.75
8,0.1417857142857143,0.05797886826353711,0.0892857142857143,0.2321428571428571,2.45,0.6571287406727709,1.0,3.0,100.0,3.0,2.75
9,0.14464285714285713,0.058843515072866705,0.0892857142857143,0.2321428571428571,2.41,0.6830561152391922,1.0,3.0,100.0,3.0,2.75
10,0.15499999999999997,0.061066586729915544,0.0892857142857143,0.2321428571428571,2.26,0.7603826787755087,1.0,3.0,100.0,3.0,2.75
11,0.16535714285714284,0.06020283690001775,0.0892857142857143,0.2321428571428571,2.13,0.774009631135756,1.0,3.0,100.0,3.0,2.75
12,0.15821428571428567,0.060331105580426606,0.0892857142857143,0.2321428571428571,2.23,0.7501514998500455,1.0,3.0,100.0,3.0,2.75
13,0.16678571428571431,0.058773408473554216,0.0892857142857143,0.2321428571428571,2.13,0.7474535896541461,1.0,3.0,100.0,3.0,2.75
14,0.16642857142857145,0.05848002582004746,0.0892857142857143,0.2321428571428571,2.14,0.738822431886435,1.0,3.0,100.0,3.0,2.75
15,0.17535714285714285,0.05586019854132336,0.0892857142857143,0.2321428571428571,2.03,0.731057073315377,1.0,3.0,100.0,3.0,2.75
16,0.17571428571428574,0.05610989158815242,0.0892857142857143,0.2321428571428571,2.02,0.7382753585556713,1.0,3.0,100.0,3.0,2.75
17,0.16714285714285715,0.061625243069580386,0.0892857142857143,0.2321428571428571,2.08,0.8125281657899746,1.0,3.0,100.0,3.0,2.75
18,0.16821428571428573,0.061187781031150114,0.0892857142857143,0.2321428571428571,2.07,0.807227453457922,1.0,3.0,100.0,3.0,2.75
19,0.16535714285714287,0.06147348101640722,0.0892857142857143,0.2321428571428571,2.11,0.8027100562117272,1.0,3.0,100.0,3.0,2.75
20,0.16535714285714284,0.06147348101640722,0.0892857142857143,0.2321428571428571,2.11,0.8027100562117273,1.0,3.0,100.0,3.0,2.75
21,0.17,0.05998092873570334,0.0892857142857143,0.2321428571428571,2.06,0.789066703534158,1.0,3.0,100.0,3.0,2.75
22,0.17571428571428568,0.05747109909770872,0.0892857142857143,0.2321428571428571,2.0,0.7654139963827327,1.0,3.0,100.0,3.0,2.75
23,0.17285714285714285,0.055426049837765154,0.0892857142857143,0.2321428571428571,2.08,0.7061061241667987,1.0,3.0,100.0,3.0,2.75
24,0.17357142857142857,0.05595813731096782,0.0892857142857143,0.2321428571428571,2.06,0.722229992188196,1.0,3.0,100.0,3.0,2.75
25,0.1825,0.05198963433149031,0.0892857142857143,0.2321428571428571,1.95,0.701729465267237,1.0,3.0,100.0,3.0,2.75
26,0.1817857142857143,0.05001932217871713,0.0892857142857143,0.2321428571428571,1.99,0.6589707309451797,1.0,3.0,100.0,3.0,2.75
27,0.18285714285714286,0.05070620629502507,0.0892857142857143,0.2321428571428571,1.96,0.6804633002817294,1.0,3.0,100.0,3.0,2.75
28,0.18892857142857142,0.047968146769648404,0.0892857142857143,0.2321428571428571,1.87,0.6765181207305297,1.0,3.0,100.0,3.0,2.75
29,0.17464285714285718,0.05807656182662087,0.0892857142857143,0.2321428571428571,2.01,0.7719187689508435,1.0,3.0,100.0,3.0,2.75
30,0.17785714285714285,0.05753831415997413,0.0892857142857143,0.2321428571428571,1.96,0.77746025264604,1.0,3.0,100.0,3.0,2.75
31,0.17785714285714285,0.05753831415997413,0.0892857142857143,0.2321428571428571,1.96,0.77746025264604,1.0,3.0,100.0,3.0,2.75
