generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.23909090909090908,0.03602307684077622,0.2142857142857143,0.3571428571428571,4.31,1.750584318033683,1.0,7.0,83.33333333333334,31.0,1.0909090909090908
2,0.23636363636363636,0.03504768282376565,0.2012987012987013,0.3571428571428571,3.8,1.6453178133937247,1.0,8.0,100.0,20.0,1.1038961038961035
3,0.24032467532467527,0.033258052958908574,0.20779220779220775,0.35064935064935066,2.81,1.5679556270777717,1.0,7.0,100.0,15.0,1.1168831168831166
4,0.24045454545454548,0.020974563082096245,0.20779220779220775,0.35064935064935066,1.97,1.6171742408449763,1.0,7.0,100.0,14.000000000000002,1.1168831168831166
5,0.2379220779220779,0.014520508583477887,0.20779220779220775,0.24675324675324672,1.88,1.485825281679097,1.0,6.0,100.0,5.0,1.1168831168831166
6,0.23753246753246754,0.014363021716794986,0.20779220779220775,0.24675324675324672,1.94,1.5096992810463676,1.0,6.0,100.0,5.0,1.1168831168831166
7,0.237012987012987,0.014163550502107899,0.20779220779220775,0.24675324675324672,1.95,1.395338559980945,1.0,6.0,100.0,5.0,1.1168831168831166
8,0.23402597402597405,0.01535867820548286,0.20779220779220775,0.24675324675324672,2.27,1.5754108010037229,1.0,6.0,100.0,5.0,1.1168831168831166
9,0.230974025974026,0.016072397499801286,0.20779220779220775,0.24675324675324672,2.64,1.755338178588992,1.0,6.0,100.0,5.0,1.1168831168831166
10,0.22649350649350652,0.0159667133062043,0.20779220779220775,0.24675324675324672,3.14,1.809179734888525,1.0,6.0,100.0,5.0,1.1168831168831166
11,0.22584415584415585,0.015459841431724458,0.20779220779220775,0.24675324675324672,3.24,1.7929153506357893,1.0,6.0,100.0,5.0,1.1168831168831166
12,0.2246753246753247,0.0155537763442499,0.20779220779220775,0.24675324675324672,3.4,1.8422647458873531,1.0,6.0,100.0,5.0,1.1168831168831166
13,0.22266233766233764,0.015229881108677823,0.20779220779220775,0.24675324675324672,3.7,1.8829377433825438,1.0,6.0,100.0,5.0,1.1168831168831166
14,0.22259740259740263,0.014507596766978492,0.20779220779220775,0.24675324675324672,3.69,1.801766809652025,1.0,6.0,100.0,5.0,1.1168831168831166
15,0.22448051948051947,0.015966046412043314,0.20779220779220775,0.24675324675324672,3.55,1.9866981897031308,1.0,6.0,100.0,5.0,1.1168831168831166
16,0.22487012987012986,0.016267314148555687,0.20779220779220775,0.24675324675324672,3.51,2.0175743011364067,1.0,6.0,100.0,4.0,1.1168831168831166
17,0.22551948051948048,0.017164205637799298,0.20779220779220775,0.24675324675324672,3.48,2.134280092947389,1.0,6.0,100.0,4.0,1.1168831168831166
18,0.22428571428571423,0.016751421292560794,0.20779220779220775,0.24675324675324672,3.61,2.088424083253962,1.0,6.0,100.0,4.0,1.1168831168831166
19,0.22266233766233762,0.01612636649420039,0.20779220779220775,0.24675324675324672,3.79,2.0265659863349375,1.0,6.0,100.0,4.0,1.1168831168831166
20,0.2232467532467532,0.01616553943123165,0.20779220779220775,0.24675324675324672,3.71,2.0215755431760836,1.0,6.0,100.0,4.0,1.1168831168831166
21,0.22227272727272726,0.015928655776790673,0.20779220779220775,0.24675324675324672,3.81,1.9933981949516166,1.0,6.0,100.0,4.0,1.1168831168831166
22,0.2224025974025974,0.015754434645906163,0.20779220779220775,0.24675324675324672,3.82,1.9918013774653152,1.0,6.0,100.0,4.0,1.1168831168831166
23,0.22123376623376623,0.014483356085874042,0.20779220779220775,0.24675324675324672,3.91,1.848258803863952,1.0,6.0,100.0,5.0,1.1168831168831166
24,0.21987012987012983,0.014328582241893184,0.20779220779220775,0.24675324675324672,4.13,1.8676133962840913,1.0,6.0,100.0,4.0,1.1168831168831166
25,0.22162337662337658,0.01507132882816654,0.20779220779220775,0.24675324675324672,3.93,1.9397750572494925,1.0,6.0,100.0,4.0,1.1168831168831166
26,0.22311688311688307,0.015704205322265852,0.20779220779220775,0.24675324675324672,3.78,2.0129881301491106,1.0,6.0,100.0,4.0,1.1168831168831166
27,0.2228571428571428,0.015162193347461396,0.20779220779220775,0.24675324675324672,3.75,1.9247195781581936,1.0,6.0,100.0,4.0,1.1168831168831166
28,0.22279220779220776,0.014959000719306984,0.20779220779220775,0.24675324675324672,3.76,1.9075607143123594,1.0,6.0,100.0,4.0,1.1168831168831166
29,0.2231168831168831,0.014608239525792589,0.20779220779220775,0.24675324675324672,3.63,1.8071407183054604,1.0,6.0,100.0,4.0,1.1168831168831166
30,0.22155844155844157,0.014688489206225279,0.20779220779220775,0.24675324675324672,3.88,1.8709906628858575,1.0,6.0,100.0,4.0,1.1168831168831166
31,0.2214935064935065,0.01490766269433887,0.20779220779220775,0.24675324675324672,3.88,1.8871174105529631,1.0,6.0,100.0,4.0,1.1168831168831166
32,0.21999999999999997,0.014156933285177132,0.20779220779220775,0.24675324675324672,4.06,1.8247457274088819,1.0,6.0,100.0,4.0,1.1168831168831166
33,0.21980519480519484,0.01335485238144258,0.20779220779220775,0.24675324675324672,4.06,1.7397317800933183,1.0,6.0,100.0,4.0,1.1168831168831166
34,0.221038961038961,0.014085753059687598,0.20779220779220775,0.24675324675324672,3.95,1.8222807332315925,1.0,6.0,100.0,4.0,1.1168831168831166
35,0.222012987012987,0.014700517846661277,0.20779220779220775,0.24675324675324672,3.86,1.8910741963660802,1.0,6.0,100.0,4.0,1.1168831168831166
