generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.24305194805194813,0.04748698190461217,0.20779220779220775,0.3701298701298701,3.93,1.615924540692455,1.0,7.0,83.33333333333334,31.0,0.9870129870129868
2,0.24032467532467536,0.05555722085988864,0.20779220779220775,0.3701298701298701,3.83,1.7294537001637542,1.0,7.0,100.0,14.000000000000002,1.1168831168831166
3,0.21662337662337666,0.007470740032848344,0.20779220779220775,0.24675324675324672,3.9,0.904534033733291,1.0,7.0,100.0,4.0,1.11038961038961
4,0.21831168831168837,0.009492453121179356,0.20779220779220775,0.24675324675324672,3.68,0.908767619283712,1.0,6.0,100.0,4.0,1.1168831168831166
5,0.21902597402597407,0.010953749721974016,0.20779220779220775,0.24675324675324672,3.7,1.1677484162422846,1.0,6.0,100.0,4.0,1.1168831168831166
6,0.2187012987012987,0.011185567208809451,0.20779220779220775,0.24675324675324672,3.8,1.2712834523274563,1.0,6.0,100.0,4.0,1.1168831168831166
7,0.22071428571428572,0.01339052398791584,0.20779220779220775,0.24675324675324672,3.67,1.5311908615667267,1.0,6.0,100.0,4.0,1.1168831168831166
8,0.2202597402597403,0.012844555153680414,0.20779220779220775,0.24675324675324672,3.62,1.3910246205403753,1.0,6.0,100.0,4.0,1.1168831168831166
9,0.21857142857142858,0.01116040794184411,0.20779220779220775,0.24675324675324672,3.81,1.268857754044952,1.0,6.0,100.0,4.0,1.1168831168831166
10,0.2203896103896104,0.01274936707815208,0.20779220779220775,0.24675324675324672,3.58,1.3497474511249064,1.0,6.0,100.0,4.0,1.1168831168831166
11,0.22123376623376625,0.01319055374990742,0.20779220779220775,0.24675324675324672,3.49,1.3743317935592843,1.0,6.0,100.0,4.0,1.1168831168831166
12,0.22233766233766236,0.014712826141398416,0.20779220779220775,0.24675324675324672,3.45,1.5978204852330262,1.0,6.0,100.0,4.0,1.1168831168831166
13,0.22279220779220782,0.015128869341770825,0.20779220779220775,0.24675324675324672,3.42,1.6525462447112005,1.0,6.0,100.0,4.0,1.1168831168831166
14,0.22227272727272723,0.015356875568128207,0.20779220779220775,0.24675324675324672,3.6,1.7922391615298479,1.0,6.0,100.0,4.0,1.1168831168831166
