generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.2409090909090909,0.04224939674446566,0.2142857142857143,0.3701298701298701,4.14,1.9070311158362563,1.0,7.0,100.0,26.0,1.0844155844155843
2,0.2343506493506494,0.03376137716211434,0.20779220779220775,0.3701298701298701,3.43,1.7247749084586326,1.0,6.0,100.0,20.0,1.1168831168831166
3,0.23350649350649352,0.0246431987061388,0.20779220779220775,0.36363636363636365,2.72,1.7757058633488016,1.0,6.0,100.0,11.0,1.1168831168831166
4,0.23110389610389614,0.01646095778068766,0.20779220779220775,0.24675324675324672,2.57,1.7189085096788792,1.0,6.0,100.0,4.0,1.1168831168831166
5,0.22896103896103898,0.016705592471050364,0.20779220779220775,0.24675324675324672,2.84,1.8241920862882746,1.0,6.0,100.0,4.0,1.1168831168831166
6,0.2259090909090909,0.01674824278740477,0.20779220779220775,0.24675324675324672,3.25,1.9403998338361903,1.0,6.0,100.0,4.0,1.1168831168831166
7,0.22389610389610387,0.016131251811644168,0.20779220779220775,0.24675324675324672,3.45,1.8768929838238706,1.0,6.0,100.0,4.0,1.1168831168831166
8,0.22584415584415587,0.016499336345896405,0.20779220779220775,0.24675324675324672,3.23,1.8901926575955907,1.0,6.0,100.0,4.0,1.1168831168831166
9,0.22655844155844154,0.016610350686536504,0.20779220779220775,0.24675324675324672,3.15,1.8929694486000914,1.0,6.0,100.0,4.0,1.1168831168831166
10,0.22532467532467532,0.015865560602362244,0.20779220779220775,0.24675324675324672,3.21,1.7540429489230493,1.0,6.0,100.0,4.0,1.1168831168831166
11,0.22538961038961033,0.016126366494200378,0.20779220779220775,0.24675324675324672,3.23,1.808258272426254,1.0,6.0,100.0,4.0,1.1168831168831166
12,0.22389610389610393,0.015891847200701782,0.20779220779220775,0.24675324675324672,3.44,1.844018449041126,1.0,6.0,100.0,4.0,1.1168831168831166
