trial,best_hyperv,best_front_percents,time_to_optimum
1,3.641304347826087,100.0,48
2,3.641304347826087,100.0,7
3,3.641304347826087,100.0,4
4,3.641304347826087,100.0,12
5,3.641304347826087,100.0,11
6,3.641304347826087,100.0,4
7,3.641304347826087,100.0,6
8,3.641304347826087,100.0,88
9,3.635869565217391,100.0,0
10,3.641304347826087,100.0,5
11,3.641304347826087,100.0,3
12,3.641304347826087,100.0,57
13,3.641304347826087,100.0,11
14,3.641304347826087,100.0,4
15,3.641304347826087,100.0,6
16,3.641304347826087,100.0,4
17,3.641304347826087,100.0,99
18,3.641304347826087,100.0,10
19,3.641304347826087,100.0,5
20,3.641304347826087,100.0,9
