generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.23928571428571427,0.027181919999628792,0.2012987012987013,0.3571428571428571,4.06,1.7104550756031465,1.0,8.0,100.0,33.0,0.9999999999999998
2,0.24253246753246752,0.042015627296229895,0.2012987012987013,0.3571428571428571,3.64,1.9925112321141403,1.0,8.0,100.0,26.0,1.11038961038961
3,0.23097402597402594,0.03157307871736345,0.2012987012987013,0.3441558441558441,3.67,1.9019129126415664,1.0,8.0,100.0,17.0,1.1168831168831166
4,0.22402597402597405,0.013262845413600045,0.2012987012987013,0.24675324675324672,3.61,1.9893402794581798,1.0,8.0,100.0,6.0,1.1168831168831166
5,0.22272727272727275,0.013951463971411388,0.2012987012987013,0.24675324675324672,3.83,2.1227721536146116,1.0,8.0,100.0,6.0,1.1168831168831166
6,0.22,0.01283128461066656,0.2012987012987013,0.24675324675324672,4.13,2.0233735206432857,1.0,8.0,100.0,6.0,1.1168831168831166
7,0.2191558441558442,0.013513372500240069,0.2012987012987013,0.24675324675324672,4.31,2.1681579949139063,1.0,8.0,100.0,6.0,1.1168831168831166
8,0.2188311688311688,0.0137670752850939,0.2012987012987013,0.24675324675324672,4.41,2.2342377182874213,1.0,8.0,100.0,6.0,1.1168831168831166
9,0.22025974025974027,0.015043750116832559,0.2012987012987013,0.24675324675324672,4.34,2.417194299767456,1.0,8.0,100.0,6.0,1.1168831168831166
10,0.22214285714285711,0.015725210132297173,0.2012987012987013,0.24675324675324672,4.08,2.4481697967125062,1.0,8.0,100.0,6.0,1.1168831168831166
11,0.2214935064935065,0.016839543565368504,0.2012987012987013,0.24675324675324672,4.3,2.6798914496333954,1.0,8.0,100.0,6.0,1.1168831168831166
12,0.22168831168831168,0.016381201153288685,0.2012987012987013,0.24675324675324672,4.23,2.5814215800092346,1.0,8.0,100.0,6.0,1.1168831168831166
13,0.22051948051948053,0.014822422550282046,0.2012987012987013,0.24675324675324672,4.31,2.419178423023866,1.0,8.0,100.0,6.0,1.1168831168831166
14,0.22045454545454546,0.01570027226936142,0.2012987012987013,0.24675324675324672,4.36,2.5366804045341373,1.0,8.0,100.0,6.0,1.1168831168831166
15,0.21941558441558442,0.014277214744608071,0.2012987012987013,0.24675324675324672,4.39,2.3522823646901583,1.0,8.0,100.0,6.0,1.1168831168831166
16,0.2192857142857143,0.013962297335818299,0.2012987012987013,0.24675324675324672,4.39,2.3089417751888246,1.0,8.0,100.0,6.0,1.1168831168831166
17,0.22006493506493505,0.01507810969744979,0.2012987012987013,0.24675324675324672,4.37,2.4190114017127247,1.0,8.0,100.0,6.0,1.1168831168831166
18,0.21987012987012985,0.013721211763623767,0.2012987012987013,0.24675324675324672,4.3,2.213366191796988,1.0,8.0,100.0,6.0,1.1168831168831166
19,0.2192857142857143,0.013209913199306485,0.2012987012987013,0.24675324675324672,4.34,2.19374685242515,1.0,8.0,100.0,6.0,1.1168831168831166
