generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.23720779220779217,0.04028802965247639,0.20779220779220775,0.37662337662337664,3.97,1.7664379497460505,1.0,7.0,83.33333333333334,28.000000000000004,1.103896103896104
2,0.22506493506493502,0.014916945130662329,0.20779220779220775,0.24675324675324672,3.66,1.8598359871208803,1.0,6.0,100.0,9.0,1.103896103896104
3,0.22370129870129868,0.014574817862707609,0.20779220779220775,0.24675324675324672,3.81,1.8350955717825046,1.0,6.0,100.0,8.0,1.11038961038961
4,0.23006493506493503,0.017346858603010586,0.20779220779220775,0.24675324675324672,3.07,2.1800518944800977,1.0,6.0,100.0,10.0,1.1168831168831166
5,0.22811688311688308,0.017720939544200783,0.20779220779220775,0.24675324675324672,3.24,2.229825377046645,1.0,6.0,100.0,5.0,1.1168831168831166
6,0.22909090909090907,0.01789850670632611,0.20779220779220775,0.24675324675324672,3.1,2.2224747331283523,1.0,6.0,100.0,5.0,1.1168831168831166
7,0.22896103896103895,0.018029855384060524,0.20779220779220775,0.24675324675324672,3.14,2.2563938333795215,1.0,6.0,100.0,5.0,1.1168831168831166
8,0.2286363636363636,0.01821025773753145,0.20779220779220775,0.24675324675324672,3.18,2.2758281875822566,1.0,6.0,100.0,5.0,1.1168831168831166
9,0.2294155844155844,0.018157791324543555,0.2012987012987013,0.24675324675324672,3.08,2.277159314904108,1.0,8.0,100.0,6.0,1.1168831168831166
10,0.2273376623376623,0.018238302658837337,0.2012987012987013,0.24675324675324672,3.33,2.3700786331412567,1.0,8.0,100.0,6.0,1.1168831168831166
11,0.22538961038961036,0.018186853934292736,0.2012987012987013,0.24675324675324672,3.63,2.480855994338741,1.0,8.0,100.0,6.0,1.1168831168831166
12,0.22616883116883113,0.01889349021929119,0.2012987012987013,0.24675324675324672,3.56,2.571483084238598,1.0,8.0,100.0,6.0,1.1168831168831166
13,0.22435064935064936,0.017423295199637708,0.2012987012987013,0.24675324675324672,3.69,2.377057853819305,1.0,8.0,100.0,6.0,1.1168831168831166
14,0.22435064935064933,0.016927332891310105,0.2012987012987013,0.24675324675324672,3.64,2.3203970402158385,1.0,8.0,100.0,6.0,1.1168831168831166
15,0.22772727272727272,0.017997581395107022,0.2012987012987013,0.24675324675324672,3.34,2.503411813320115,1.0,8.0,100.0,6.0,1.1168831168831166
16,0.2269480519480519,0.01818872734675247,0.2012987012987013,0.24675324675324672,3.5,2.587850400809463,1.0,8.0,100.0,6.0,1.1168831168831166
17,0.22532467532467532,0.0184011618902102,0.2012987012987013,0.24675324675324672,3.73,2.6432876682210917,1.0,8.0,100.0,6.0,1.1168831168831166
18,0.22305194805194803,0.017617771207900108,0.2012987012987013,0.24675324675324672,3.97,2.520441680068448,1.0,8.0,100.0,6.0,1.1168831168831166
19,0.22207792207792207,0.017242069573242595,0.2012987012987013,0.24675324675324672,4.04,2.420117703123073,1.0,8.0,100.0,6.0,1.1168831168831166
20,0.22136363636363637,0.015773887574626173,0.2012987012987013,0.24675324675324672,4.05,2.1666666666666665,1.0,8.0,100.0,6.0,1.1168831168831166
21,0.22194805194805195,0.016022633321853594,0.2012987012987013,0.24675324675324672,3.95,2.1759706994462227,1.0,8.0,100.0,6.0,1.1168831168831166
22,0.22233766233766233,0.014182182411271428,0.2012987012987013,0.24675324675324672,3.85,1.9713862220183132,1.0,8.0,100.0,6.0,1.1168831168831166
23,0.22220779220779222,0.014492910285143991,0.2012987012987013,0.24675324675324672,3.92,2.097039760609168,1.0,8.0,100.0,6.0,1.1168831168831166
24,0.22032467532467528,0.013666315188431886,0.2012987012987013,0.24675324675324672,4.1,1.987333628129648,1.0,8.0,100.0,6.0,1.1168831168831166
25,0.21948051948051947,0.012888250998672034,0.2012987012987013,0.24675324675324672,4.18,1.9142211011903574,1.0,8.0,100.0,6.0,1.1168831168831166
26,0.21941558441558445,0.013062061786054308,0.2012987012987013,0.24675324675324672,4.18,1.8876525960123922,1.0,8.0,100.0,6.0,1.1168831168831166
27,0.21967532467532463,0.01252133081028942,0.2012987012987013,0.24675324675324672,4.12,1.7307673314329557,1.0,8.0,100.0,6.0,1.1168831168831166
28,0.21948051948051944,0.013905596020507486,0.2012987012987013,0.24675324675324672,4.22,1.9414666953859727,1.0,8.0,100.0,6.0,1.1168831168831166
29,0.21883116883116885,0.013454146331343321,0.2012987012987013,0.24675324675324672,4.31,1.905308904141798,1.0,8.0,100.0,6.0,1.1168831168831166
30,0.22090909090909086,0.014267814624147827,0.2012987012987013,0.24675324675324672,4.04,1.9894672146028944,1.0,8.0,100.0,6.0,1.1168831168831166
31,0.22019480519480517,0.014624994522253437,0.2012987012987013,0.24675324675324672,4.17,2.1227721536146116,1.0,8.0,100.0,6.0,1.1168831168831166
32,0.22220779220779222,0.015321473261208985,0.2012987012987013,0.24675324675324672,3.9,2.1391020489349204,1.0,8.0,100.0,6.0,1.1168831168831166
33,0.22324675324675322,0.016530284234188095,0.2012987012987013,0.24675324675324672,3.87,2.368373264329742,1.0,8.0,100.0,6.0,1.1168831168831166
34,0.22519480519480517,0.017189621339275804,0.2012987012987013,0.24675324675324672,3.66,2.4421384899387677,1.0,8.0,100.0,6.0,1.1168831168831166
35,0.2222077922077922,0.016239143803008012,0.2012987012987013,0.24675324675324672,3.96,2.309051140992155,1.0,8.0,100.0,5.0,1.1168831168831166
36,0.219025974025974,0.015577171564028198,0.2012987012987013,0.24675324675324672,4.4,2.3311678262929583,1.0,8.0,100.0,5.0,1.1168831168831166
37,0.2188961038961039,0.015886888265014283,0.2012987012987013,0.24675324675324672,4.4,2.3050230613014078,1.0,8.0,100.0,5.0,1.1168831168831166
38,0.21909090909090911,0.016266397742843962,0.2012987012987013,0.24675324675324672,4.44,2.354106663220293,1.0,8.0,100.0,5.0,1.1168831168831166
39,0.22006493506493505,0.01653324703165263,0.2012987012987013,0.24675324675324672,4.31,2.3385007715598167,1.0,8.0,100.0,5.0,1.1168831168831166
40,0.21896103896103894,0.01596137737272435,0.2012987012987013,0.24675324675324672,4.44,2.293248765177886,1.0,8.0,100.0,5.0,1.1168831168831166
41,0.22077922077922074,0.017068278978513526,0.2012987012987013,0.24675324675324672,4.21,2.400736419004667,1.0,8.0,100.0,5.0,1.1168831168831166
42,0.22227272727272723,0.018270034860880434,0.2012987012987013,0.24675324675324672,4.06,2.5259061780283965,1.0,8.0,100.0,5.0,1.1168831168831166
43,0.21772727272727269,0.017327205161849456,0.2012987012987013,0.24675324675324672,4.74,2.5291033265494782,1.0,8.0,100.0,5.0,1.1168831168831166
44,0.21896103896103894,0.017874694724005102,0.2012987012987013,0.24675324675324672,4.62,2.627669397897396,1.0,8.0,100.0,5.0,1.1168831168831166
45,0.22103896103896103,0.017289432563892454,0.2012987012987013,0.24675324675324672,4.22,2.520942584659856,1.0,8.0,100.0,5.0,1.1168831168831166
46,0.21805194805194805,0.015749162009399846,0.2012987012987013,0.24675324675324672,4.6,2.4536099975754135,1.0,8.0,100.0,5.0,1.1168831168831166
