generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.24487012987012988,0.036316462251376844,0.20779220779220775,0.36363636363636365,3.88,1.6653327995729061,1.0,7.0,66.66666666666666,31.0,0.9740259740259738
2,0.24058441558441557,0.04113460203835204,0.20779220779220775,0.36363636363636365,3.7,1.9514304517662957,1.0,7.0,83.33333333333334,15.0,0.9999999999999998
3,0.22824675324675325,0.023699703798594846,0.20779220779220775,0.3441558441558441,4.11,2.078728243689182,1.0,7.0,100.0,12.0,1.1168831168831166
4,0.22616883116883116,0.025777410768253732,0.2012987012987013,0.3441558441558441,4.24,2.015695984773077,1.0,8.0,100.0,13.0,1.1168831168831166
5,0.22058441558441558,0.013950090127228185,0.2012987012987013,0.24675324675324672,4.07,1.9029748110033224,1.0,8.0,100.0,6.0,1.1168831168831166
6,0.2207142857142857,0.014838935709548851,0.2012987012987013,0.24675324675324672,4.14,2.122605602898133,1.0,8.0,100.0,6.0,1.1168831168831166
7,0.2214285714285714,0.014042750423818822,0.2012987012987013,0.24675324675324672,3.99,2.0125615618917205,1.0,8.0,100.0,6.0,1.1168831168831166
8,0.22305194805194806,0.015148000941760935,0.2012987012987013,0.24675324675324672,3.82,2.119557796457849,1.0,8.0,100.0,6.0,1.1168831168831166
9,0.2222077922077922,0.014609988771156887,0.2012987012987013,0.24675324675324672,3.9,2.0621651855574648,1.0,8.0,100.0,6.0,1.1168831168831166
10,0.22246753246753248,0.014813799681617897,0.2012987012987013,0.24675324675324672,3.86,2.108280931196904,1.0,8.0,100.0,6.0,1.1168831168831166
11,0.22298701298701298,0.015449920323149091,0.2012987012987013,0.24675324675324672,3.82,2.1898756940875788,1.0,8.0,100.0,6.0,1.1168831168831166
12,0.22506493506493502,0.01674633539473201,0.2012987012987013,0.24675324675324672,3.6,2.3006367146790674,1.0,8.0,100.0,6.0,1.1168831168831166
13,0.22545454545454546,0.015934670903237767,0.2012987012987013,0.24675324675324672,3.44,2.0514591998099423,1.0,8.0,100.0,6.0,1.1168831168831166
14,0.2235714285714286,0.016899128624648128,0.2012987012987013,0.24675324675324672,3.75,2.266911751455907,1.0,8.0,100.0,6.0,1.1168831168831166
15,0.22396103896103892,0.01740177015347855,0.2012987012987013,0.24675324675324672,3.72,2.305373608495481,1.0,8.0,100.0,6.0,1.1168831168831166
16,0.22538961038961033,0.018186853934292736,0.2012987012987013,0.24675324675324672,3.63,2.480855994338741,1.0,8.0,100.0,6.0,1.1168831168831166
17,0.22370129870129868,0.01792929622863742,0.2012987012987013,0.24675324675324672,3.86,2.522704977606459,1.0,8.0,100.0,6.0,1.1168831168831166
18,0.22129870129870127,0.017455166996048772,0.2012987012987013,0.24675324675324672,4.26,2.5726612405417586,1.0,8.0,100.0,6.0,1.1168831168831166
