generation,f_mean,f_std,f_min,f_max
1,0.22025201612903245,0.026248960606340896,0.15719086021505402,0.2577620967741937
2,0.21408400537634434,0.033121771276745385,0.1518145161290324,0.2573252688172045
3,0.21200537634408625,0.03625299562491988,0.1518145161290324,0.25883736559139814
4,0.19137701612903238,0.010361885145106489,0.1518145161290324,0.20084005376344105
5,0.24312701612903242,0.027604700981058425,0.1518145161290324,0.26421370967741953
6,0.2403400537634411,0.038203675132931894,0.1518145161290324,0.27345430107526913
7,0.2168084677419358,0.03256988128709644,0.1518145161290324,0.24979838709677438
8,0.16783602150537655,0.007786849986729233,0.1518145161290324,0.17876344086021512
9,0.21319556451612923,0.05424929504053592,0.1518145161290324,0.2786290322580647
10,0.24318279569892495,0.03237784526832942,0.1518145161290324,0.2616263440860216
11,0.30970967741935496,0.07872155135864965,0.1518145161290324,0.3705981182795699
12,0.20109946236559162,0.015599428374260038,0.1518145161290324,0.21747311827957028
13,0.1751680107526884,0.00520004676435659,0.1518145161290324,0.1766129032258067
14,0.3267211021505378,0.07494203358058574,0.1518145161290324,0.36142473118279583
15,0.2049751344086025,0.018650317799581553,0.13776881720430123,0.21260080645161328
16,0.22758400537634416,0.04072637126460832,0.13776881720430123,0.25846774193548394
17,0.32944220430107535,0.18031198784420308,0.13776881720430123,0.5662970430107527
18,0.2036552419354841,0.019445822707640784,0.13776881720430123,0.21532258064516152
19,0.21044758064516156,0.017949743335437487,0.13776881720430123,0.21969086021505413
20,0.2114200268817207,0.01623616620070558,0.13776881720430123,0.2185483870967746
21,0.2186653225806455,0.03342188330863806,0.13776881720430123,0.23581989247311863
22,0.20714314516129043,0.020381754083512914,0.13776881720430123,0.2163306451612904
23,0.24743884408602188,0.02601463800649908,0.13776881720430123,0.2546706989247316
24,0.20706922043010778,0.015862529158963738,0.13776881720430123,0.21102150537634434
25,0.2509247311827959,0.03754094876863692,0.13776881720430123,0.2680107526881722
26,0.24980645161290344,0.032190606497845976,0.13776881720430123,0.2680107526881723
27,0.2222271505376346,0.024358672863307864,0.13776881720430123,0.23632392473118302
28,0.24765591397849496,0.03561503990094516,0.13776881720430123,0.2711693548387102
29,0.18352217741935506,0.017421894723513524,0.13776881720430123,0.1986895161290324
30,0.19970967741935514,0.03009028366722536,0.13776881720430123,0.22829301075268849
31,0.20969556451612917,0.02601681772083733,0.13776881720430123,0.23366935483870988
32,0.2145974462365593,0.024750008906959525,0.13776881720430123,0.25991263440860224
33,0.22964247311827976,0.0454801734379604,0.13776881720430123,0.3055779569892473
34,0.21093884408602162,0.030198606595155823,0.13776881720430123,0.287432795698925
35,0.24573857526881743,0.05204581933215922,0.13776881720430123,0.3313844086021507
36,0.18016666666666686,0.00881483477181952,0.13776881720430123,0.1824932795698927
37,0.20395900537634432,0.01844912471059195,0.13776881720430123,0.24428763440860213
38,0.2504455645161292,0.03425672499420495,0.13776881720430123,0.2680107526881722
39,0.2683763440860217,0.05297652567889547,0.13511424731182808,0.30621639784946253
40,0.23752016129032277,0.04200173029410295,0.13511424731182808,0.2684475806451615
41,0.21841263440860242,0.029536242311667897,0.13511424731182808,0.23746639784946266
42,0.20740456989247338,0.03836835428877746,0.13511424731182808,0.2610551075268821
43,0.2109086021505378,0.04442940250562357,0.13511424731182808,0.3039314516129036
44,0.19939314516129053,0.029319472042248256,0.13511424731182808,0.23941532258064557
45,0.19085080645161312,0.02485716444843001,0.13511424731182808,0.2309475806451614
46,0.1988004032258067,0.029833307491336707,0.13511424731182808,0.22026209677419373
47,0.2185322580645164,0.029965568791887186,0.13511424731182808,0.251310483870968
48,0.23634072580645168,0.0936053751727561,0.13511424731182808,0.4506720430107528
49,0.18596706989247347,0.015343462325105627,0.13511424731182808,0.21209677419354855
50,0.2760907258064517,0.08144226727393893,0.13511424731182808,0.3657258064516129
51,0.21215188172043029,0.03524767875060244,0.13511424731182808,0.24821908602150544
52,0.20416801075268828,0.035930331900345315,0.13511424731182808,0.25927419354838743
53,0.19779099462365604,0.043793382880047214,0.13511424731182808,0.252318548387097
54,0.20676209677419372,0.033177429220598194,0.13511424731182808,0.2690188172043012
55,0.21547916666666694,0.023219561492178246,0.13511424731182808,0.22815860215053796
56,0.16888911290322617,0.00725894074154223,0.13511424731182808,0.17059811827957028
57,0.19126008064516126,0.014874182795097116,0.13511424731182808,0.19596774193548383
58,0.21420295698924746,0.028133498954715192,0.13511424731182808,0.22614247311827973
59,0.268024865591398,0.05849791818444432,0.13511424731182808,0.3012768817204302
60,0.26187836021505395,0.08447849604564518,0.13511424731182808,0.3405577956989251
61,0.189220430107527,0.017635729003079574,0.13511424731182808,0.20127688172043023
62,0.3240477150537634,0.06732918080060006,0.13511424731182808,0.3711693548387095
63,0.18008064516129046,0.017404872071474547,0.13511424731182808,0.22607526881720452
64,0.21804099462365614,0.023490704709530602,0.13511424731182808,0.22879704301075288
65,0.23433467741935501,0.022875973725259825,0.13511424731182808,0.2406250000000002
66,0.2559973118279572,0.03866028932583796,0.13511424731182808,0.2718750000000002
67,0.18892069892473118,0.011094703329588635,0.13511424731182808,0.19116263440860215
68,0.20223991935483887,0.014283039041441436,0.13511424731182808,0.20621639784946255
69,0.3919482526881721,0.13472885763024628,0.13511424731182808,0.4737567204301075
70,0.3418555107526881,0.0737775787099273,0.13511424731182808,0.3818548387096773
71,0.18059811827957034,0.009378616123932922,0.13511424731182808,0.18249327956989292
72,0.23545564516129056,0.02593325656526771,0.13511424731182808,0.24556451612903252
73,0.25527822580645176,0.038063559494044004,0.13511424731182808,0.2751680107526884
74,0.30686290322580656,0.09283996685926507,0.13511424731182808,0.3931787634408602
75,0.22252016129032273,0.044431543013626056,0.13511424731182808,0.26586021505376367
76,0.19986021505376364,0.024258029790477535,0.13511424731182808,0.22184139784946266
77,0.20045094086021528,0.02892662429298951,0.13511424731182808,0.22721774193548394
78,0.21959475806451623,0.031163678771075898,0.13511424731182808,0.25668682795698927
79,0.2229018817204302,0.023640619900163726,0.13511424731182808,0.23639112903225812
80,0.215995295698925,0.02299767471381103,0.13511424731182808,0.2352486559139788
81,0.17812500000000003,0.011072441118548845,0.13511424731182808,0.18256048387096768
82,0.23583669354838732,0.02932701269729626,0.13511424731182808,0.2518817204301077
83,0.3114005376344087,0.05167207980522255,0.13511424731182808,0.347076612903226
84,0.20005779569892493,0.027443307288537024,0.13511424731182808,0.23259408602150555
85,0.21736827956989266,0.018171356935296704,0.13511424731182808,0.2298723118279572
86,0.20676948924731203,0.03165568935142329,0.13511424731182808,0.24277553763440873
87,0.21337231182795718,0.02463736714774136,0.13511424731182808,0.23366935483870988
88,0.20002217741935507,0.015623637434955803,0.13511424731182808,0.21969086021505402
89,0.2932721774193551,0.059898306691775975,0.13511424731182808,0.33316532258064546
90,0.16821102150537656,0.006824439817840519,0.13511424731182808,0.16959005376344105
91,0.22702553763440877,0.03229115611888109,0.13511424731182808,0.2416330645161292
92,0.24130376344086046,0.03416603210515739,0.13511424731182808,0.26092069892473146
93,0.17369556451612922,0.008035928461442066,0.13511424731182808,0.17547043010752705
94,0.19559811827957013,0.01247156399459159,0.13511424731182808,0.1981182795698927
95,0.22839717741935503,0.02316278634016923,0.13511424731182808,0.2347446236559142
96,0.24329771505376352,0.036098692788780216,0.13511424731182808,0.26004704301075277
97,0.17804973118279568,0.008853147560960705,0.13511424731182808,0.17983870967741933
98,0.2925215053763442,0.036106002194476856,0.13511424731182808,0.30141129032258074
99,0.23817943548387116,0.02303516067523919,0.13511424731182808,0.24378360215053785
100,0.20164919354838723,0.01711409612337552,0.13511424731182808,0.20829973118279588
101,0.21587500000000007,0.027891896803165155,0.13511424731182808,0.2304435483870968
102,0.17124327956989296,0.007449680892769445,0.13511424731182808,0.17274865591397903
103,0.20621975806451626,0.017477558329314614,0.13511424731182808,0.21152553763440873
104,0.21046706989247319,0.01626270584969507,0.13511424731182808,0.2143145161290323
105,0.2601209677419357,0.03509026416267453,0.13511424731182808,0.27352150537634434
106,0.1920174731182797,0.011733247406111758,0.13511424731182808,0.19438844086021523
107,0.2026922043010755,0.013949551776795235,0.13511424731182808,0.20564516129032284
108,0.335217741935484,0.09545773374874901,0.13511424731182808,0.39912634408602155
109,0.2263333333333336,0.03242970065895702,0.13511424731182808,0.24808467741935514
110,0.22944153225806474,0.026405189938693105,0.13511424731182808,0.23948252688172067
111,0.2827143817204303,0.039661020845986134,0.13511424731182808,0.29610215053763456
112,0.1894045698924733,0.01119447584154541,0.13511424731182808,0.19166666666666687
113,0.25024596774193575,0.034079174809523806,0.13511424731182808,0.26219758064516163
114,0.25916733870967756,0.041004582628411675,0.13511424731182808,0.2797715053763442
115,0.20637836021505393,0.022212565382819578,0.13511424731182808,0.21747311827957005
116,0.20669354838709686,0.018496477601916233,0.13511424731182808,0.21811155913978508
117,0.23719959677419375,0.039575614256012796,0.13511424731182808,0.2718750000000002
118,0.20676814516129055,0.02733476524663732,0.13511424731182808,0.2363239247311829
119,0.2066229838709679,0.017972097968910035,0.13511424731182808,0.2605510752688176
120,0.2086908602150539,0.025044635602350533,0.13511424731182808,0.24277553763440873
121,0.20344287634408625,0.028444210777644408,0.13511424731182808,0.23202284946236584
122,0.2097063172043012,0.02345611562141753,0.13511424731182808,0.22721774193548394
123,0.21021236559139786,0.031130321225790986,0.13511424731182808,0.2417002688172044
124,0.2493192204301077,0.044576819462455314,0.13511424731182808,0.3082325268817204
125,0.26123185483870986,0.04559050320627163,0.13511424731182808,0.29432123655914
126,0.19942069892473138,0.014732668488444936,0.13511424731182808,0.2050739247311829
127,0.20443682795698934,0.020401353076659502,0.13511424731182808,0.21260080645161306
128,0.1722217741935485,0.029979981564094118,0.13511424731182808,0.23030913978494627
129,0.33755309139784956,0.1763271652361454,0.13511424731182808,0.5339717741935482
130,0.22463911290322597,0.0361347670743106,0.13511424731182808,0.36680107526881733
131,0.21909274193548406,0.02219662577436038,0.13511424731182808,0.22879704301075288
132,0.20217876344086044,0.015589280368193905,0.13511424731182808,0.2077956989247315
133,0.26384677419354857,0.04370378848553219,0.13511424731182808,0.2933803763440862
134,0.19944086021505392,0.014235284569568704,0.13511424731182808,0.22234543010752716
135,0.2040483870967742,0.015404276727914397,0.13511424731182808,0.20779569892473115
136,0.19685551075268845,0.0139505865570161,0.13511424731182808,0.20026881720430134
137,0.2720127688172045,0.04081560754105272,0.13511424731182808,0.2875672043010754
138,0.23945228494623663,0.03864331823144898,0.13511424731182808,0.2642809139784946
139,0.2299139784946237,0.03017688044648294,0.13511424731182808,0.24499327956989247
140,0.1678010752688175,0.022715751237777585,0.12916666666666687,0.181922043010753
141,0.21275470430107546,0.019158059298427326,0.12916666666666687,0.22177419354838723
142,0.2542600806451614,0.050141878438742064,0.12916666666666687,0.3067204301075269
143,0.19962768817204313,0.017193232753170962,0.12916666666666687,0.2094422043010753
144,0.20727956989247345,0.023690346086152822,0.12916666666666687,0.21582661290322613
145,0.2518709677419357,0.03954772159810555,0.12916666666666687,0.26965725806451635
146,0.22842204301075303,0.024056765718595018,0.12916666666666687,0.23897849462365628
147,0.20525268817204328,0.015742474787837513,0.12916666666666687,0.2088709677419357
148,0.21354704301075295,0.021408512757243748,0.12916666666666687,0.21969086021505402
149,0.23235282258064552,0.026473927750473896,0.12916666666666687,0.23934811827957025
150,0.2074287634408602,0.02175212152095422,0.12916666666666687,0.21374327956989247
151,0.23198588709677423,0.0270630084192874,0.12916666666666687,0.24062499999999998
152,0.214608870967742,0.033378069468862466,0.12916666666666687,0.2308803763440861
153,0.18377755376344113,0.021141486320626922,0.12916666666666687,0.19647177419354867
154,0.2464294354838712,0.05467054352673445,0.12916666666666687,0.293951612903226
155,0.21344354838709695,0.023781274121092835,0.12916666666666687,0.23797043010752705
156,0.19245766129032282,0.026346341063488026,0.12916666666666687,0.22715053763440884
157,0.20346639784946252,0.034129313621928045,0.12916666666666687,0.23682795698924752
158,0.22877217741935507,0.08130868481417385,0.12916666666666687,0.3700268817204301
159,0.19219690860215086,0.029379382430304347,0.12916666666666687,0.24378360215053774
160,0.21189650537634427,0.03212915510906554,0.12916666666666687,0.2593413978494623
161,0.19702419354838738,0.024353235602571233,0.12916666666666687,0.2141801075268821
162,0.2458138440860216,0.0256928371980286,0.12916666666666687,0.25997983870967767
163,0.2309045698924733,0.026064617099938122,0.12916666666666687,0.2659946236559141
164,0.2611767473118281,0.033412007895505844,0.12916666666666687,0.28098118279569906
165,0.17858467741935505,0.024789821482817317,0.12916666666666687,0.22291666666666676
166,0.20356653225806476,0.03496806389372147,0.12916666666666687,0.24378360215053785
167,0.20571034946236583,0.03094902428508556,0.12916666666666687,0.24055779569892488
168,0.2285047043010755,0.0380636124103459,0.12916666666666687,0.27167338709677435
169,0.23191263440860244,0.043613702109010076,0.12916666666666687,0.2868615591397853
170,0.22835416666666689,0.027383788900848402,0.12916666666666687,0.24284274193548405
171,0.2637049731182797,0.04122046701900085,0.12916666666666687,0.29811827956989256
172,0.34365120967741947,0.129364446821368,0.12916666666666687,0.5194220430107526
173,0.2253615591397851,0.0602643421907953,0.12916666666666687,0.3372647849462368
174,0.22018346774193567,0.022671806390017767,0.12916666666666687,0.25504032258064535
175,0.24495430107526897,0.050856037556560874,0.12916666666666687,0.2932459677419357
176,0.24338978494623675,0.03651503748924606,0.12916666666666687,0.2772513440860216
177,0.23977150537634428,0.032880450584620025,0.12916666666666687,0.26965725806451635
178,0.22237365591397867,0.03606658071727957,0.12916666666666687,0.2959005376344087
179,0.2170840053763443,0.04858446836254614,0.12916666666666687,0.28786962365591406
180,0.18884408602150565,0.030354854199354554,0.12916666666666687,0.2368279569892474
181,0.22297983870967752,0.03092923407224128,0.12916666666666687,0.25954301075268826
182,0.2535967741935486,0.0777594780299636,0.12916666666666687,0.4915994623655915
183,0.23412298387096794,0.027034322152255236,0.12916666666666687,0.25403225806451624
184,0.22070026881720445,0.0404519311570198,0.12916666666666687,0.3196908602150539
185,0.23379771505376362,0.034812573075577787,0.12916666666666687,0.30880376344086036
186,0.22869354838709693,0.029009669133166185,0.12916666666666687,0.25940860215053785
187,0.23503427419354864,0.033815005612848774,0.12916666666666687,0.2847110215053764
188,0.21322916666666689,0.023690010015675354,0.12916666666666687,0.22227822580645185
189,0.2103555107526886,0.02460935603396286,0.12916666666666687,0.22557123655914024
190,0.1661727150537639,0.008774095635061808,0.12916666666666687,0.16952284946236607
191,0.20796706989247332,0.027196782047963233,0.12916666666666687,0.22241263440860237
192,0.21299462365591423,0.02088962112960606,0.12916666666666687,0.22177419354838734
193,0.17616666666666686,0.00969123666139729,0.12916666666666687,0.1781250000000002
194,0.27780779569892483,0.04833092589222693,0.12916666666666687,0.29375000000000007
195,0.32332190860215076,0.06059956483787752,0.12916666666666687,0.3432795698924733
196,0.24595094086021518,0.03328058240206145,0.12916666666666687,0.2587701612903227
197,0.25337903225806463,0.04188001955684302,0.12916666666666687,0.27547043010752703
198,0.2573272849462367,0.04414030640858155,0.12916666666666687,0.28786962365591406
199,0.21214180107526887,0.029730459772409228,0.12916666666666687,0.23461021505376345
200,0.19359677419354854,0.019761371926217002,0.12916666666666687,0.2293010752688175
