generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.13994565217391303,0.04313638508501637,0.09239130434782605,0.2663043478260869,4.51,1.8284784202536637,1.0,8.0,100.0,53.0,3.5271739130434785
2,0.12733695652173913,0.04421487747792378,0.09239130434782605,0.32608695652173914,4.12,1.6774198561294587,1.0,7.0,100.0,32.0,3.6358695652173916
3,0.1148369565217391,0.031874465184674655,0.09239130434782605,0.23913043478260865,4.05,1.4240006242195884,1.0,6.0,100.0,15.0,3.6358695652173916
4,0.09608695652173913,0.009037526334345607,0.09239130434782605,0.15760869565217395,4.76,0.5880974288828221,1.0,5.0,100.0,6.0,3.6358695652173916
5,0.09771739130434781,0.011534865452274752,0.09239130434782605,0.15760869565217395,4.62,0.8012616314414425,1.0,5.0,100.0,6.0,3.6358695652173916
6,0.0992391304347826,0.014319201293776831,0.09239130434782605,0.15760869565217395,4.52,0.958534234541406,1.0,5.0,100.0,6.0,3.6358695652173916
7,0.09967391304347824,0.01539554725417028,0.09239130434782605,0.15760869565217395,4.5,1.0100505037878156,1.0,5.0,100.0,6.0,3.6358695652173916
8,0.09815217391304344,0.012898569229161735,0.09239130434782605,0.15760869565217395,4.6,0.864566219253764,1.0,5.0,100.0,5.0,3.6358695652173916
9,0.09978260869565216,0.014524011088279167,0.09239130434782605,0.15760869565217395,4.46,0.9991915924305199,1.0,5.0,100.0,5.0,3.6358695652173916
10,0.10391304347826086,0.019129736083380013,0.09239130434782605,0.15760869565217395,4.18,1.2583458759158166,1.0,5.0,100.0,5.0,3.6358695652173916
11,0.10728260869565215,0.022060914469321086,0.09239130434782605,0.15760869565217395,3.98,1.3997113699587924,1.0,5.0,100.0,6.0,3.641304347826087
12,0.11163043478260869,0.0260862703027883,0.09239130434782605,0.15760869565217395,3.76,1.5962076268076117,1.0,5.0,100.0,6.0,3.641304347826087
13,0.11744565217391303,0.027101297354664298,0.09239130434782605,0.15760869565217395,3.39,1.632343546728278,1.0,5.0,100.0,5.0,3.641304347826087
14,0.11804347826086957,0.027637460419883002,0.09239130434782605,0.15760869565217395,3.38,1.6500994766462667,1.0,5.0,100.0,5.0,3.641304347826087
15,0.11918478260869567,0.0280678074139448,0.09239130434782605,0.15760869565217395,3.35,1.6414763002993509,1.0,5.0,100.0,6.0,3.641304347826087
16,0.12836956521739132,0.02877662714303801,0.09239130434782605,0.15760869565217395,2.8,1.675732916690726,1.0,5.0,100.0,5.0,3.641304347826087
17,0.12309782608695652,0.02721642480545112,0.09239130434782605,0.15760869565217395,3.03,1.5792531158875083,1.0,5.0,100.0,5.0,3.641304347826087
18,0.12282608695652172,0.027047355708851018,0.09239130434782605,0.15760869565217395,3.06,1.5427903357883792,1.0,5.0,100.0,5.0,3.641304347826087
19,0.12456521739130434,0.026009069791965985,0.09239130434782605,0.15760869565217395,2.96,1.4628048331195722,1.0,5.0,100.0,5.0,3.641304347826087
20,0.1264673913043478,0.02468093496455592,0.09239130434782605,0.15760869565217395,2.81,1.3385881300154212,1.0,5.0,100.0,5.0,3.641304347826087
21,0.12657608695652173,0.025471426801041683,0.09239130434782605,0.15760869565217395,2.83,1.378441514936709,1.0,5.0,100.0,5.0,3.641304347826087
22,0.1271195652173913,0.025372845077058774,0.09239130434782605,0.15760869565217395,2.77,1.3915691310404403,1.0,5.0,100.0,6.0,3.641304347826087
23,0.12646739130434784,0.02553646919787022,0.09239130434782605,0.15760869565217395,2.85,1.3880805728658827,1.0,5.0,100.0,6.0,3.641304347826087
24,0.12054347826086956,0.023801241818527625,0.09239130434782605,0.15760869565217395,3.1,1.3371158468430429,1.0,5.0,100.0,6.0,3.641304347826087
25,0.11972826086956521,0.023372118417175784,0.09239130434782605,0.15760869565217395,3.11,1.3172898410192517,1.0,5.0,100.0,6.0,3.641304347826087
26,0.11864130434782608,0.023934680493460436,0.09239130434782605,0.15760869565217395,3.23,1.3622248586986532,1.0,5.0,100.0,6.0,3.641304347826087
27,0.11733695652173912,0.02339304414415642,0.09239130434782605,0.15760869565217395,3.35,1.3361712223190318,1.0,5.0,100.0,6.0,3.641304347826087
28,0.11804347826086956,0.021985863765051593,0.09239130434782605,0.15760869565217395,3.22,1.2519076352801461,1.0,5.0,100.0,6.0,3.641304347826087
29,0.1203804347826087,0.023023839109180492,0.09239130434782605,0.15760869565217395,3.07,1.3046536751648738,1.0,5.0,100.0,6.0,3.641304347826087
30,0.1234782608695652,0.02550402722529746,0.09239130434782605,0.15760869565217395,3.0,1.4494861506789574,1.0,5.0,100.0,6.0,3.641304347826087
31,0.12163043478260871,0.02432692692674489,0.09239130434782605,0.15760869565217395,3.08,1.3975447445900662,1.0,5.0,100.0,6.0,3.641304347826087
32,0.1220108695652174,0.023561806959726685,0.09239130434782605,0.15760869565217395,3.09,1.3264595544135334,1.0,5.0,100.0,6.0,3.641304347826087
33,0.12461956521739131,0.0236739832144829,0.09239130434782605,0.15760869565217395,2.97,1.2827920936595907,1.0,5.0,100.0,6.0,3.641304347826087
34,0.12380434782608696,0.024361242695957002,0.09239130434782605,0.15760869565217395,3.08,1.3534840937074923,1.0,5.0,100.0,6.0,3.641304347826087
35,0.12217391304347829,0.023154413490826763,0.09239130434782605,0.15760869565217395,3.12,1.297082974379142,1.0,5.0,100.0,6.0,3.641304347826087
36,0.11891304347826087,0.021893392070934475,0.09239130434782605,0.15760869565217395,3.32,1.2299297836572918,1.0,5.0,100.0,6.0,3.641304347826087
37,0.11885869565217394,0.022101921742719924,0.09239130434782605,0.15760869565217395,3.31,1.2528351685660646,1.0,5.0,100.0,6.0,3.641304347826087
38,0.12103260869565219,0.023982001722105534,0.09239130434782605,0.15760869565217395,3.17,1.385749988382836,1.0,5.0,100.0,6.0,3.641304347826087
39,0.12103260869565219,0.02350450262925586,0.09239130434782605,0.15760869565217395,3.19,1.3234100428114264,1.0,5.0,100.0,6.0,3.641304347826087
40,0.12380434782608697,0.025156562331984596,0.09239130434782605,0.15760869565217395,3.02,1.4423605791909457,1.0,5.0,100.0,6.0,3.641304347826087
