generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.13320652173913042,0.028502805083943608,0.09239130434782605,0.25,4.9,1.403458930534474,2.0,8.0,100.0,46.0,3.2771739130434785
2,0.12347826086956522,0.024936190549666733,0.09239130434782605,0.24456521739130432,4.36,1.3597385369580761,2.0,8.0,100.0,27.0,3.2989130434782608
3,0.11375000000000002,0.018218664629635523,0.09239130434782605,0.15760869565217395,4.36,1.3447991851889445,2.0,7.0,100.0,13.0,3.304347826086957
4,0.10788043478260871,0.016393312399060382,0.09239130434782605,0.15217391304347827,4.67,1.1014682579322579,2.0,6.0,100.0,8.0,3.3097826086956523
5,0.10994565217391307,0.01730488450978852,0.09239130434782605,0.15217391304347827,4.47,1.1673591018736578,2.0,6.0,100.0,8.0,3.3097826086956523
6,0.10847826086956522,0.015639725689674956,0.09239130434782605,0.15217391304347827,4.56,1.0854408404799492,2.0,6.0,100.0,8.0,3.3097826086956523
7,0.10625,0.01356498003097406,0.09239130434782605,0.15217391304347827,4.73,0.9729160583347654,2.0,6.0,100.0,8.0,3.3152173913043477
8,0.10869565217391304,0.01629519579178398,0.09239130434782605,0.15217391304347827,4.52,1.1588918426800248,2.0,6.0,100.0,8.0,3.3152173913043477
9,0.11119565217391304,0.01880158374388656,0.09239130434782605,0.15217391304347827,4.35,1.2663077641455704,2.0,6.0,100.0,7.000000000000001,3.3152173913043477
10,0.11320652173913043,0.021028330708068907,0.09239130434782605,0.15760869565217395,4.27,1.3915691310404406,1.0,6.0,100.0,8.0,3.6304347826086953
11,0.11543478260869566,0.02183662809489535,0.09239130434782605,0.15760869565217395,4.06,1.4412396459894228,1.0,6.0,100.0,9.0,3.6304347826086953
12,0.12119565217391307,0.02429894828864333,0.09239130434782605,0.15760869565217395,3.53,1.5792531158875083,1.0,6.0,100.0,7.000000000000001,3.635869565217391
13,0.11913043478260871,0.023641509421167214,0.09239130434782605,0.15760869565217395,3.65,1.5464197817585437,1.0,6.0,100.0,7.000000000000001,3.635869565217391
14,0.12434782608695655,0.02588949568649703,0.09239130434782605,0.15760869565217395,3.35,1.7019003045021899,1.0,6.0,100.0,7.000000000000001,3.635869565217391
15,0.12358695652173914,0.0256386694688596,0.09239130434782605,0.15760869565217395,3.36,1.6728370627122768,1.0,6.0,100.0,7.000000000000001,3.635869565217391
16,0.12369565217391303,0.025968200634549486,0.09239130434782605,0.15760869565217395,3.33,1.7352844496543272,1.0,6.0,100.0,7.000000000000001,3.635869565217391
17,0.12478260869565215,0.026069108958416232,0.09239130434782605,0.15760869565217395,3.19,1.7331876395645662,1.0,6.0,100.0,7.000000000000001,3.635869565217391
18,0.1204891304347826,0.02579453613024002,0.09239130434782605,0.15760869565217395,3.53,1.7549640993191256,1.0,6.0,100.0,7.000000000000001,3.635869565217391
19,0.11760869565217391,0.025344902734722157,0.09239130434782605,0.15760869565217395,3.69,1.7792008193443358,1.0,6.0,100.0,8.0,3.635869565217391
20,0.11483695652173914,0.02454517188279818,0.09239130434782605,0.15760869565217395,3.84,1.7622299922128626,1.0,6.0,100.0,8.0,3.635869565217391
21,0.11842391304347824,0.025412793271624056,0.09239130434782605,0.15760869565217395,3.61,1.763232797729755,1.0,6.0,100.0,8.0,3.635869565217391
22,0.11744565217391305,0.02639863535266435,0.09239130434782605,0.15760869565217395,3.78,1.8454421057450072,1.0,6.0,100.0,8.0,3.635869565217391
23,0.12222826086956522,0.027107901816180398,0.09239130434782605,0.15760869565217395,3.47,1.8171739630869719,1.0,6.0,100.0,8.0,3.635869565217391
24,0.12532608695652175,0.026600448732192587,0.09239130434782605,0.15760869565217395,3.22,1.7383377640200373,1.0,6.0,100.0,9.0,3.635869565217391
25,0.12353260869565215,0.025454554191999542,0.09239130434782605,0.15760869565217395,3.18,1.70785470013338,1.0,6.0,100.0,9.0,3.635869565217391
26,0.12347826086956522,0.026196520030015318,0.09239130434782605,0.15760869565217395,3.21,1.7882613869003565,1.0,6.0,100.0,9.0,3.635869565217391
27,0.12190217391304348,0.02518826735446081,0.09239130434782605,0.15760869565217395,3.29,1.736680916593663,1.0,6.0,100.0,8.0,3.635869565217391
28,0.1216304347826087,0.023389026326064453,0.09239130434782605,0.15760869565217395,3.22,1.573646604661808,1.0,6.0,100.0,8.0,3.635869565217391
29,0.12483695652173914,0.02463980024599962,0.09239130434782605,0.15760869565217395,3.07,1.609661486465431,1.0,6.0,100.0,8.0,3.635869565217391
30,0.12228260869565216,0.023308780525473537,0.09239130434782605,0.15760869565217395,3.18,1.493284631240471,1.0,6.0,100.0,8.0,3.635869565217391
31,0.12331521739130435,0.02521715231286205,0.09239130434782605,0.15760869565217395,3.16,1.674044277318925,1.0,6.0,100.0,8.0,3.635869565217391
