generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.1415760869565217,0.044377335405491276,0.09239130434782605,0.32608695652173914,4.95,2.0713290516970115,1.0,9.0,100.0,51.0,3.5108695652173916
2,0.16320652173913047,0.05767926731193978,0.09239130434782605,0.32608695652173914,3.38,2.0684254490756584,1.0,7.0,100.0,36.0,3.53804347826087
3,0.19249999999999998,0.05173322061884729,0.09239130434782605,0.23913043478260865,1.9,1.3669992204412074,1.0,6.0,100.0,14.000000000000002,3.6358695652173916
4,0.1797282608695652,0.06534195668768258,0.09239130434782605,0.23913043478260865,2.49,1.956574000180371,1.0,6.0,100.0,14.000000000000002,3.641304347826087
5,0.15728260869565217,0.05686328430797356,0.09239130434782605,0.23913043478260865,2.63,1.8015425489162213,1.0,6.0,100.0,12.0,3.625
6,0.13195652173913047,0.027355345128604717,0.09239130434782605,0.15760869565217395,2.56,1.6716289762813499,1.0,5.0,100.0,4.0,3.6358695652173916
7,0.12809782608695652,0.027455230264937285,0.09239130434782605,0.15760869565217395,2.79,1.67751018001096,1.0,5.0,100.0,4.0,3.6358695652173916
8,0.1304347826086957,0.0273544725915607,0.09239130434782605,0.15760869565217395,2.64,1.6667878743804858,1.0,5.0,100.0,4.0,3.6358695652173916
9,0.12706521739130439,0.027870731985357514,0.09239130434782605,0.15760869565217395,2.86,1.7057241715749207,1.0,5.0,100.0,4.0,3.6358695652173916
10,0.12570652173913044,0.028029514401927077,0.09239130434782605,0.15760869565217395,2.93,1.7130220210039464,1.0,5.0,100.0,4.0,3.6358695652173916
11,0.12510869565217392,0.027926341752380228,0.09239130434782605,0.15760869565217395,2.96,1.6991976716299748,1.0,5.0,100.0,5.0,3.641304347826087
12,0.1255434782608696,0.027074918495692223,0.09239130434782605,0.15760869565217395,2.92,1.6494872175340067,1.0,5.0,100.0,4.0,3.6358695652173916
13,0.1265217391304348,0.027333523346602592,0.09239130434782605,0.15760869565217395,2.86,1.6637550324734733,1.0,5.0,100.0,4.0,3.6358695652173916
