generation,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,percent_front,percent_dom,hyperv
1,0.15880434782608696,0.08733851920461194,0.09239130434782605,0.40760869565217395,4.75,1.5723301886761007,1.0,8.0,100.0,46.0,3.4239130434782608
2,0.12548913043478258,0.05726208799430902,0.09239130434782605,0.3315217391304348,4.61,1.7343528470238683,1.0,8.0,100.0,22.0,3.527173913043478
3,0.10641304347826085,0.043541209371801226,0.09239130434782605,0.32608695652173914,5.35,1.4659433478105144,1.0,7.0,100.0,13.0,3.548913043478261
4,0.10092391304347823,0.024782269199995325,0.09239130434782605,0.23913043478260865,5.36,1.3372669248444113,1.0,6.0,100.0,5.0,3.548913043478261
5,0.10880434782608692,0.03484653901932482,0.09239130434782605,0.23913043478260865,4.86,1.6878651868229548,1.0,6.0,100.0,5.0,3.548913043478261
6,0.11668478260869562,0.04511795440217253,0.09239130434782605,0.23913043478260865,4.62,1.8844392033470092,1.0,6.0,100.0,5.0,3.548913043478261
7,0.10396739130434782,0.02106518747847895,0.09239130434782605,0.15760869565217395,4.97,1.5983261446420955,1.0,6.0,100.0,5.0,3.630434782608696
8,0.10663043478260867,0.0231324980670753,0.09239130434782605,0.15760869565217395,4.77,1.7224307465810278,1.0,6.0,100.0,6.0,3.635869565217391
9,0.11271739130434781,0.0263729112204044,0.09239130434782605,0.15760869565217395,4.28,1.9020456823582805,1.0,6.0,100.0,6.0,3.635869565217391
10,0.1123369565217391,0.026614296957526293,0.09239130434782605,0.15760869565217395,4.34,1.9239059596077304,1.0,6.0,100.0,6.0,3.635869565217391
11,0.11119565217391303,0.026472276893552114,0.09239130434782605,0.15760869565217395,4.4,1.964328347956588,1.0,6.0,100.0,6.0,3.635869565217391
12,0.11271739130434781,0.025939461896673087,0.09239130434782605,0.15760869565217395,4.23,1.8686947856780152,1.0,6.0,100.0,6.0,3.635869565217391
13,0.12217391304347824,0.02664146787302526,0.09239130434782605,0.15760869565217395,3.5,1.7837651700316894,1.0,6.0,100.0,12.0,3.641304347826087
14,0.13614130434782612,0.02159281846018787,0.09239130434782605,0.15760869565217395,2.39,1.033724266226666,1.0,5.0,100.0,6.0,3.641304347826087
15,0.13407608695652173,0.022561506422516125,0.09239130434782605,0.15760869565217395,2.47,1.1051303684693183,1.0,5.0,100.0,6.0,3.641304347826087
16,0.13375,0.023428727799916584,0.09239130434782605,0.15760869565217395,2.47,1.1845384388576476,1.0,5.0,100.0,6.0,3.641304347826087
17,0.13375,0.024377342181282572,0.09239130434782605,0.15760869565217395,2.43,1.2968882727202031,1.0,5.0,100.0,6.0,3.641304347826087
