key,err,pen,f32,f16,f8
0000000000000,1.0,0,1.0,1.0,1.0
0000000000001,0.3888888888888888,1,0.4201388888888888,0.4513888888888888,0.5138888888888888
0000000000010,0.25,1,0.28125,0.3125,0.375
0000000000011,0.1111111111111111,2,0.1736111111111111,0.2361111111111111,0.3611111111111111
0000000000100,0.4722222222222222,1,0.5034722222222222,0.5347222222222222,0.5972222222222222
0000000000101,0.1111111111111111,2,0.1736111111111111,0.2361111111111111,0.3611111111111111
0000000000110,0.3888888888888888,2,0.4513888888888888,0.5138888888888888,0.6388888888888888
0000000000111,0.0833333333333333,3,0.17708333333333331,0.2708333333333333,0.4583333333333333
0000000001000,0.25,1,0.28125,0.3125,0.375
0000000001001,0.1388888888888888,2,0.2013888888888888,0.26388888888888884,0.38888888888888884
0000000001010,0.1666666666666666,2,0.2291666666666666,0.29166666666666663,0.41666666666666663
0000000001011,0.0555555555555555,3,0.1493055555555555,0.2430555555555555,0.43055555555555547
0000000001100,0.25,2,0.3125,0.375,0.5
0000000001101,0.0555555555555555,3,0.1493055555555555,0.2430555555555555,0.43055555555555547
0000000001110,0.1388888888888888,3,0.2326388888888888,0.32638888888888884,0.5138888888888888
0000000001111,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000000010000,0.5277777777777778,1,0.5590277777777778,0.5902777777777778,0.6527777777777778
0000000010001,0.2222222222222222,2,0.2847222222222222,0.3472222222222222,0.4722222222222222
0000000010010,0.2777777777777778,2,0.3402777777777778,0.4027777777777778,0.5277777777777778
0000000010011,0.1111111111111111,3,0.2048611111111111,0.2986111111111111,0.4861111111111111
0000000010100,0.3055555555555556,2,0.3680555555555556,0.4305555555555556,0.5555555555555556
0000000010101,0.0277777777777777,3,0.1215277777777777,0.2152777777777777,0.4027777777777777
0000000010110,0.4166666666666666,3,0.5104166666666665,0.6041666666666665,0.7916666666666665
0000000010111,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000000011000,0.3611111111111111,2,0.4236111111111111,0.4861111111111111,0.6111111111111112
0000000011001,0.0833333333333333,3,0.17708333333333331,0.2708333333333333,0.4583333333333333
0000000011010,0.0833333333333333,3,0.17708333333333331,0.2708333333333333,0.4583333333333333
0000000011011,0.0833333333333333,4,0.20833333333333331,0.3333333333333333,0.5833333333333333
0000000011100,0.1944444444444444,3,0.2881944444444444,0.3819444444444444,0.5694444444444444
0000000011101,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000000011110,0.0833333333333333,4,0.20833333333333331,0.3333333333333333,0.5833333333333333
0000000011111,0.0555555555555555,5,0.2118055555555555,0.36805555555555547,0.6805555555555555
0000000100000,0.5277777777777778,1,0.5590277777777778,0.5902777777777778,0.6527777777777778
0000000100001,0.2777777777777778,2,0.3402777777777778,0.4027777777777778,0.5277777777777778
0000000100010,0.2777777777777778,2,0.3402777777777778,0.4027777777777778,0.5277777777777778
0000000100011,0.1111111111111111,3,0.2048611111111111,0.2986111111111111,0.4861111111111111
0000000100100,0.2777777777777778,2,0.3402777777777778,0.4027777777777778,0.5277777777777778
0000000100101,0.0,3,0.09375,0.1875,0.375
0000000100110,0.1944444444444444,3,0.2881944444444444,0.3819444444444444,0.5694444444444444
0000000100111,0.0277777777777777,4,0.1527777777777777,0.2777777777777777,0.5277777777777777
0000000101000,0.3055555555555556,2,0.3680555555555556,0.4305555555555556,0.5555555555555556
0000000101001,0.0833333333333333,3,0.17708333333333331,0.2708333333333333,0.4583333333333333
0000000101010,0.0833333333333333,3,0.17708333333333331,0.2708333333333333,0.4583333333333333
0000000101011,0.1388888888888888,4,0.26388888888888884,0.38888888888888884,0.6388888888888888
0000000101100,0.2222222222222222,3,0.3159722222222222,0.4097222222222222,0.5972222222222222
0000000101101,0.1111111111111111,4,0.2361111111111111,0.3611111111111111,0.6111111111111112
0000000101110,0.0833333333333333,4,0.20833333333333331,0.3333333333333333,0.5833333333333333
0000000101111,0.0,5,0.15625,0.3125,0.625
0000000110000,0.4444444444444444,2,0.5069444444444444,0.5694444444444444,0.6944444444444444
0000000110001,0.1944444444444444,3,0.2881944444444444,0.3819444444444444,0.5694444444444444
0000000110010,0.3611111111111111,3,0.4548611111111111,0.5486111111111112,0.7361111111111112
0000000110011,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000000110100,0.2777777777777778,3,0.3715277777777778,0.4652777777777778,0.6527777777777778
0000000110101,0.1666666666666666,4,0.29166666666666663,0.41666666666666663,0.6666666666666666
0000000110110,0.3888888888888888,4,0.5138888888888888,0.6388888888888888,0.8888888888888888
0000000110111,0.1388888888888888,5,0.29513888888888884,0.45138888888888884,0.7638888888888888
0000000111000,0.1388888888888888,3,0.2326388888888888,0.32638888888888884,0.5138888888888888
0000000111001,0.0833333333333333,4,0.20833333333333331,0.3333333333333333,0.5833333333333333
0000000111010,0.0,4,0.125,0.25,0.5
0000000111011,0.1111111111111111,5,0.2673611111111111,0.4236111111111111,0.7361111111111112
0000000111100,0.25,4,0.375,0.5,0.75
0000000111101,0.1111111111111111,5,0.2673611111111111,0.4236111111111111,0.7361111111111112
0000000111110,0.1388888888888888,5,0.29513888888888884,0.45138888888888884,0.7638888888888888
0000000111111,0.0555555555555555,6,0.2430555555555555,0.43055555555555547,0.8055555555555555
0000001000000,0.1944444444444444,1,0.2256944444444444,0.2569444444444444,0.3194444444444444
0000001000001,0.0833333333333333,2,0.14583333333333331,0.20833333333333331,0.3333333333333333
0000001000010,0.1944444444444444,2,0.2569444444444444,0.3194444444444444,0.4444444444444444
0000001000011,0.0555555555555555,3,0.1493055555555555,0.2430555555555555,0.43055555555555547
0000001000100,0.1111111111111111,2,0.1736111111111111,0.2361111111111111,0.3611111111111111
0000001000101,0.0833333333333333,3,0.17708333333333331,0.2708333333333333,0.4583333333333333
0000001000110,0.1111111111111111,3,0.2048611111111111,0.2986111111111111,0.4861111111111111
0000001000111,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000001001000,0.1388888888888888,2,0.2013888888888888,0.26388888888888884,0.38888888888888884
0000001001001,0.0833333333333333,3,0.17708333333333331,0.2708333333333333,0.4583333333333333
0000001001010,0.1666666666666666,3,0.26041666666666663,0.35416666666666663,0.5416666666666666
0000001001011,0.1111111111111111,4,0.2361111111111111,0.3611111111111111,0.6111111111111112
0000001001100,0.1944444444444444,3,0.2881944444444444,0.3819444444444444,0.5694444444444444
0000001001101,0.0833333333333333,4,0.20833333333333331,0.3333333333333333,0.5833333333333333
0000001001110,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000001001111,0.0277777777777777,5,0.1840277777777777,0.3402777777777777,0.6527777777777777
0000001010000,0.1944444444444444,2,0.2569444444444444,0.3194444444444444,0.4444444444444444
0000001010001,0.1666666666666666,3,0.26041666666666663,0.35416666666666663,0.5416666666666666
0000001010010,0.1944444444444444,3,0.2881944444444444,0.3819444444444444,0.5694444444444444
0000001010011,0.0833333333333333,4,0.20833333333333331,0.3333333333333333,0.5833333333333333
