key,err,pen,f32,f16,f8
000000000,1.0,0,1.0,1.0,1.0
000000001,0.2321428571428571,1,0.2633928571428571,0.2946428571428571,0.3571428571428571
000000010,0.4107142857142857,1,0.4419642857142857,0.4732142857142857,0.5357142857142857
000000011,0.3928571428571429,2,0.4553571428571429,0.5178571428571429,0.6428571428571429
000000100,0.4642857142857143,1,0.4955357142857143,0.5267857142857143,0.5892857142857143
000000101,0.3571428571428571,2,0.4196428571428571,0.4821428571428571,0.6071428571428571
000000110,0.2857142857142857,2,0.3482142857142857,0.4107142857142857,0.5357142857142857
000000111,0.2678571428571429,3,0.3616071428571429,0.4553571428571429,0.6428571428571429
000001000,0.2857142857142857,1,0.3169642857142857,0.3482142857142857,0.4107142857142857
000001001,0.2142857142857143,2,0.2767857142857143,0.3392857142857143,0.4642857142857143
000001010,0.3214285714285714,2,0.3839285714285714,0.4464285714285714,0.5714285714285714
000001011,0.2678571428571429,3,0.3616071428571429,0.4553571428571429,0.6428571428571429
000001100,0.375,2,0.4375,0.5,0.625
000001101,0.2857142857142857,3,0.3794642857142857,0.4732142857142857,0.6607142857142857
000001110,0.2857142857142857,3,0.3794642857142857,0.4732142857142857,0.6607142857142857
000001111,0.2857142857142857,4,0.4107142857142857,0.5357142857142857,0.7857142857142857
000010000,0.2857142857142857,1,0.3169642857142857,0.3482142857142857,0.4107142857142857
000010001,0.2857142857142857,2,0.3482142857142857,0.4107142857142857,0.5357142857142857
000010010,0.25,2,0.3125,0.375,0.5
000010011,0.3928571428571429,3,0.4866071428571429,0.5803571428571429,0.7678571428571429
000010100,0.2857142857142857,2,0.3482142857142857,0.4107142857142857,0.5357142857142857
000010101,0.2678571428571429,3,0.3616071428571429,0.4553571428571429,0.6428571428571429
000010110,0.1785714285714286,3,0.2723214285714286,0.3660714285714286,0.5535714285714286
000010111,0.3571428571428571,4,0.4821428571428571,0.6071428571428571,0.8571428571428571
000011000,0.25,2,0.3125,0.375,0.5
000011001,0.2857142857142857,3,0.3794642857142857,0.4732142857142857,0.6607142857142857
000011010,0.2678571428571429,3,0.3616071428571429,0.4553571428571429,0.6428571428571429
000011011,0.2857142857142857,4,0.4107142857142857,0.5357142857142857,0.7857142857142857
000011100,0.2142857142857143,3,0.3080357142857143,0.4017857142857143,0.5892857142857143
000011101,0.3035714285714286,4,0.4285714285714286,0.5535714285714286,0.8035714285714286
000011110,0.2857142857142857,4,0.4107142857142857,0.5357142857142857,0.7857142857142857
000011111,0.3214285714285714,5,0.4776785714285714,0.6339285714285714,0.9464285714285714
000100000,0.3392857142857143,1,0.3705357142857143,0.4017857142857143,0.4642857142857143
000100001,0.3035714285714286,2,0.3660714285714286,0.4285714285714286,0.5535714285714286
000100010,0.25,2,0.3125,0.375,0.5
000100011,0.2678571428571429,3,0.3616071428571429,0.4553571428571429,0.6428571428571429
000100100,0.3035714285714286,2,0.3660714285714286,0.4285714285714286,0.5535714285714286
000100101,0.3035714285714286,3,0.3973214285714286,0.4910714285714286,0.6785714285714286
000100110,0.25,3,0.34375,0.4375,0.625
000100111,0.25,4,0.375,0.5,0.75
000101000,0.2321428571428571,2,0.2946428571428571,0.3571428571428571,0.4821428571428571
000101001,0.1785714285714286,3,0.2723214285714286,0.3660714285714286,0.5535714285714286
000101010,0.1785714285714286,3,0.2723214285714286,0.3660714285714286,0.5535714285714286
000101011,0.2142857142857143,4,0.3392857142857143,0.4642857142857143,0.7142857142857143
000101100,0.25,3,0.34375,0.4375,0.625
000101101,0.2321428571428571,4,0.3571428571428571,0.4821428571428571,0.7321428571428571
000101110,0.3035714285714286,4,0.4285714285714286,0.5535714285714286,0.8035714285714286
000101111,0.2678571428571429,5,0.4241071428571429,0.5803571428571429,0.8928571428571429
000110000,0.3571428571428571,2,0.4196428571428571,0.4821428571428571,0.6071428571428571
000110001,0.4107142857142857,3,0.5044642857142857,0.5982142857142857,0.7857142857142857
000110010,0.2678571428571429,3,0.3616071428571429,0.4553571428571429,0.6428571428571429
000110011,0.2321428571428571,4,0.3571428571428571,0.4821428571428571,0.7321428571428571
000110100,0.3392857142857143,3,0.4330357142857143,0.5267857142857143,0.7142857142857143
000110101,0.3392857142857143,4,0.4642857142857143,0.5892857142857143,0.8392857142857143
000110110,0.2678571428571429,4,0.3928571428571429,0.5178571428571429,0.7678571428571429
000110111,0.25,5,0.40625,0.5625,0.875
000111000,0.25,3,0.34375,0.4375,0.625
000111001,0.3035714285714286,4,0.4285714285714286,0.5535714285714286,0.8035714285714286
000111010,0.2678571428571429,4,0.3928571428571429,0.5178571428571429,0.7678571428571429
000111011,0.3214285714285714,5,0.4776785714285714,0.6339285714285714,0.9464285714285714
000111100,0.2678571428571429,4,0.3928571428571429,0.5178571428571429,0.7678571428571429
000111101,0.25,5,0.40625,0.5625,0.875
000111110,0.375,5,0.53125,0.6875,1.0
000111111,0.3214285714285714,6,0.5089285714285714,0.6964285714285714,1.0714285714285714
001000000,0.3035714285714286,1,0.3348214285714286,0.3660714285714286,0.4285714285714286
001000001,0.1964285714285714,2,0.2589285714285714,0.3214285714285714,0.4464285714285714
001000010,0.3571428571428571,2,0.4196428571428571,0.4821428571428571,0.6071428571428571
001000011,0.2857142857142857,3,0.3794642857142857,0.4732142857142857,0.6607142857142857
