key,err,pen,f32,f16,f8
00000000000,1.0,0,1.0,1.0,1.0
00000000001,0.1576086956521739,1,0.1888586956521739,0.2201086956521739,0.2826086956521739
00000000010,0.2608695652173913,1,0.2921195652173913,0.3233695652173913,0.3858695652173913
00000000011,0.1521739130434782,2,0.2146739130434782,0.27717391304347816,0.40217391304347816
00000000100,0.2608695652173913,1,0.2921195652173913,0.3233695652173913,0.3858695652173913
00000000101,0.1576086956521739,2,0.2201086956521739,0.2826086956521739,0.4076086956521739
00000000110,0.217391304347826,2,0.279891304347826,0.342391304347826,0.467391304347826
00000000111,0.1304347826086956,3,0.2241847826086956,0.31793478260869557,0.5054347826086956
00000001000,0.3260869565217391,1,0.3573369565217391,0.3885869565217391,0.4510869565217391
00000001001,0.1630434782608695,2,0.2255434782608695,0.2880434782608695,0.4130434782608695
00000001010,0.2282608695652174,2,0.2907608695652174,0.3532608695652174,0.4782608695652174
00000001011,0.1358695652173913,3,0.2296195652173913,0.3233695652173913,0.5108695652173914
00000001100,0.25,2,0.3125,0.375,0.5
00000001101,0.1358695652173913,3,0.2296195652173913,0.3233695652173913,0.5108695652173914
00000001110,0.2065217391304348,3,0.3002717391304348,0.3940217391304348,0.5815217391304348
00000001111,0.1195652173913043,4,0.2445652173913043,0.3695652173913043,0.6195652173913043
00000010000,0.4239130434782608,1,0.4551630434782608,0.4864130434782608,0.5489130434782608
00000010001,0.1576086956521739,2,0.2201086956521739,0.2826086956521739,0.4076086956521739
00000010010,0.2608695652173913,2,0.3233695652173913,0.3858695652173913,0.5108695652173914
00000010011,0.1521739130434782,3,0.2459239130434782,0.33967391304347816,0.5271739130434782
00000010100,0.2608695652173913,2,0.3233695652173913,0.3858695652173913,0.5108695652173914
00000010101,0.1684782608695652,3,0.2622282608695652,0.3559782608695652,0.5434782608695652
00000010110,0.217391304347826,3,0.311141304347826,0.404891304347826,0.5923913043478259
00000010111,0.1358695652173913,4,0.2608695652173913,0.3858695652173913,0.6358695652173914
00000011000,0.3315217391304348,2,0.3940217391304348,0.4565217391304348,0.5815217391304348
00000011001,0.1630434782608695,3,0.2567934782608695,0.3505434782608695,0.5380434782608695
00000011010,0.2228260869565217,3,0.31657608695652173,0.41032608695652173,0.5978260869565217
00000011011,0.1467391304347826,4,0.2717391304347826,0.3967391304347826,0.6467391304347826
00000011100,0.2445652173913043,3,0.3383152173913043,0.4320652173913043,0.6195652173913043
00000011101,0.1413043478260869,4,0.2663043478260869,0.3913043478260869,0.6413043478260869
00000011110,0.217391304347826,4,0.342391304347826,0.467391304347826,0.7173913043478259
00000011111,0.125,5,0.28125,0.4375,0.75
00000100000,0.3967391304347826,1,0.4279891304347826,0.4592391304347826,0.5217391304347826
00000100001,0.1576086956521739,2,0.2201086956521739,0.2826086956521739,0.4076086956521739
00000100010,0.217391304347826,2,0.279891304347826,0.342391304347826,0.467391304347826
00000100011,0.1195652173913043,3,0.2133152173913043,0.3070652173913043,0.4945652173913043
00000100100,0.1902173913043477,2,0.25271739130434767,0.31521739130434767,0.44021739130434767
00000100101,0.1467391304347826,3,0.2404891304347826,0.3342391304347826,0.5217391304347826
00000100110,0.1902173913043477,3,0.28396739130434767,0.37771739130434767,0.5652173913043477
00000100111,0.1358695652173913,4,0.2608695652173913,0.3858695652173913,0.6358695652173914
00000101000,0.2663043478260869,2,0.3288043478260869,0.3913043478260869,0.5163043478260869
00000101001,0.1521739130434782,3,0.2459239130434782,0.33967391304347816,0.5271739130434782
00000101010,0.1902173913043477,3,0.28396739130434767,0.37771739130434767,0.5652173913043477
00000101011,0.108695652173913,4,0.233695652173913,0.35869565217391297,0.608695652173913
00000101100,0.2065217391304348,3,0.3002717391304348,0.3940217391304348,0.5815217391304348
