trial,best_hyperv,best_front_percents,time_to_optimum
1,2.75,100.0,4
2,2.75,100.0,2
3,2.75,100.0,78
4,2.7321428571428568,100.0,0
5,2.75,100.0,19
6,2.6071428571428577,100.0,0
7,2.75,100.0,20
8,2.75,100.0,5
9,2.75,100.0,7
10,2.75,100.0,3
11,2.75,100.0,3
12,2.6071428571428577,100.0,0
13,2.75,100.0,6
14,2.75,100.0,66
15,2.75,100.0,2
16,2.7321428571428568,100.0,0
17,2.75,100.0,6
18,2.6071428571428577,100.0,0
19,2.75,100.0,40
20,2.6071428571428577,100.0,0
