generation,f_mean,f_std,f_min,f_max
1,0.455,0.014984338099729396,0.4196296296296297,0.4840740740740741
2,0.44596296296296317,0.011640512261630296,0.4196296296296297,0.4633333333333334
3,0.44537037037037047,0.010249880424221642,0.4196296296296297,0.46259259259259267
4,0.44714814814814824,0.015683569645361897,0.4196296296296297,0.4640740740740742
5,0.4492222222222223,0.010696012898174682,0.4196296296296297,0.46518518518518515
6,0.44812592592592604,0.008949907096871774,0.4196296296296297,0.4548148148148149
7,0.43822222222222235,0.00402533896330375,0.4196296296296297,0.4396296296296297
8,0.457688888888889,0.014210375514489922,0.4196296296296297,0.46703703703703714
9,0.4494814814814815,0.00795201307291182,0.4196296296296297,0.45259259259259266
10,0.4440518518518519,0.00993453276963875,0.4196296296296297,0.44925925925925936
11,0.44529629629629647,0.007121170291429095,0.4196296296296297,0.44777777777777794
12,0.4543555555555557,0.010853026850604304,0.4196296296296297,0.458888888888889
13,0.42854074074074083,0.0029878115269656095,0.4125925925925926,0.42925925925925934
14,0.44260000000000005,0.005507979710019709,0.4125925925925926,0.4437037037037038
15,0.4471037037037037,0.006456626568959177,0.4125925925925926,0.44851851851851854
16,0.43157777777777795,0.0032674346034418603,0.4125925925925926,0.4322222222222224
17,0.4823629629629629,0.01722705984609396,0.4125925925925926,0.4866666666666667
18,0.4657333333333334,0.012030782723090336,0.4125925925925926,0.4688888888888889
19,0.47762962962962974,0.018424857628454482,0.4125925925925926,0.4840740740740741
20,0.5138592592592591,0.026533965823970534,0.4125925925925926,0.5248148148148147
21,0.43925925925925924,0.005498573992282153,0.4125925925925926,0.4403703703703704
22,0.4637925925925927,0.011801328441562802,0.4125925925925926,0.46703703703703714
23,0.4633407407407409,0.016351601680661944,0.4125925925925926,0.47111111111111126
24,0.48485185185185187,0.03232758769673134,0.4125925925925926,0.5044444444444445
25,0.4412148148148149,0.005994052836783384,0.4125925925925926,0.44259259259259265
26,0.4726888888888889,0.02348858475601707,0.4125925925925926,0.4848148148148148
27,0.4456518518518521,0.008567773079028182,0.4125925925925926,0.448888888888889
28,0.4587925925925927,0.01707426508698653,0.4125925925925926,0.4674074074074075
29,0.4731925925925926,0.025945882611716882,0.4125925925925926,0.49
30,0.4658592592592594,0.02171165681250951,0.4125925925925926,0.48777777777777787
31,0.4469111111111112,0.013244985286083784,0.4125925925925926,0.4633333333333334
32,0.454088888888889,0.02406028560303176,0.4125925925925926,0.48629629629629634
33,0.4555333333333334,0.029579361175349622,0.4125925925925926,0.4881481481481482
34,0.44454074074074085,0.010734042793894383,0.4125925925925926,0.4662962962962963
35,0.44621481481481495,0.0148644840091288,0.4125925925925926,0.4655555555555556
36,0.45068148148148146,0.00976684608453013,0.4125925925925926,0.46370370370370373
37,0.45460740740740746,0.010927472122424566,0.4125925925925926,0.4614814814814815
38,0.4422148148148149,0.011520911009923925,0.4125925925925926,0.45259259259259266
39,0.47094814814814817,0.031720021090302884,0.4125925925925926,0.5059259259259259
40,0.441762962962963,0.007755812485231082,0.4125925925925926,0.44518518518518524
41,0.4406962962962963,0.009987994248823281,0.4125925925925926,0.44666666666666677
42,0.472288888888889,0.02287865071764881,0.4125925925925926,0.4851851851851853
43,0.4696296296296297,0.03365403797877469,0.4125925925925926,0.49888888888888894
44,0.4400888888888889,0.007109095204306284,0.4125925925925926,0.4481481481481482
45,0.4326370370370372,0.004421482635085877,0.4125925925925926,0.4337037037037038
46,0.4661259259259259,0.011297804194118143,0.4125925925925926,0.4688888888888889
47,0.4754888888888889,0.017083424640313802,0.4125925925925926,0.48185185185185186
48,0.4457185185185187,0.009774238347910667,0.4125925925925926,0.448888888888889
49,0.45325185185185196,0.014356534237267814,0.4125925925925926,0.458888888888889
50,0.4561037037037037,0.008992293482070708,0.4125925925925926,0.4581481481481482
51,0.43303703703703705,0.006089944791508224,0.4125925925925926,0.4348148148148149
52,0.4584148148148149,0.016347243936264917,0.4125925925925926,0.4648148148148149
53,0.46183703703703705,0.019691208195235833,0.4125925925925926,0.4714814814814815
54,0.437488888888889,0.006729064667654427,0.4125925925925926,0.44000000000000006
55,0.44269629629629625,0.008976339786400627,0.4125925925925926,0.44592592592592595
56,0.45466666666666666,0.011078308849356514,0.4125925925925926,0.45851851851851855
57,0.46128888888888897,0.01673886102397485,0.4125925925925926,0.47111111111111115
58,0.4473777777777778,0.007311487805054635,0.4125925925925926,0.44925925925925936
59,0.44821481481481484,0.008314353122645463,0.4125925925925926,0.45111111111111113
60,0.5328148148148147,0.05668689337113598,0.4125925925925926,0.5718518518518518
61,0.461,0.028778716018523286,0.4125925925925926,0.4888888888888888
62,0.44902962962962967,0.008640031815441594,0.4125925925925926,0.4574074074074075
63,0.46656296296296307,0.026276438479573203,0.4125925925925926,0.4851851851851853
64,0.467125925925926,0.026491040037378146,0.4125925925925926,0.4974074074074074
65,0.43664444444444456,0.006279783602304038,0.4125925925925926,0.4440740740740742
66,0.4460148148148149,0.013069866930185014,0.4125925925925926,0.4581481481481482
67,0.4530370370370371,0.010931785456207368,0.4125925925925926,0.4622222222222222
68,0.4681777777777778,0.03427483987192538,0.4125925925925926,0.5277777777777777
69,0.4440814814814816,0.011829033684324057,0.4125925925925926,0.46111111111111114
70,0.45480740740740744,0.012770625798681177,0.4125925925925926,0.4707407407407408
71,0.4490222222222224,0.011811571763030874,0.4125925925925926,0.4707407407407408
72,0.4317333333333335,0.006247169511078,0.4125925925925926,0.4470370370370371
73,0.4489777777777779,0.0187636922188734,0.4125925925925926,0.4662962962962963
74,0.4444962962962964,0.01253376727402616,0.4125925925925926,0.45370370370370383
75,0.4437037037037038,0.007131285943995507,0.4125925925925926,0.4470370370370371
76,0.4777185185185185,0.03230100099567996,0.4125925925925926,0.5077777777777778
77,0.45154814814814814,0.016491256326653114,0.4125925925925926,0.4766666666666668
78,0.46412592592592605,0.013695429669008653,0.4125925925925926,0.4700000000000001
79,0.4617703703703704,0.011231718813992209,0.4125925925925926,0.4662962962962963
80,0.47375555555555565,0.016119950486056397,0.4125925925925926,0.48296296296296304
81,0.4649333333333334,0.013316408170952265,0.4125925925925926,0.46962962962962973
82,0.44072592592592597,0.005932517120517704,0.4125925925925926,0.4422222222222223
83,0.44802962962962967,0.009964085447055673,0.4125925925925926,0.4522222222222223
84,0.45153333333333345,0.012126912564310505,0.4125925925925926,0.4596296296296297
85,0.4497851851851853,0.011292569673886884,0.4125925925925926,0.46851851851851856
86,0.4635851851851853,0.020233158439262988,0.4125925925925926,0.4774074074074075
87,0.4438814814814815,0.010740933613093518,0.4125925925925926,0.45333333333333337
88,0.4293407407407409,0.009005996652262739,0.4125925925925926,0.4474074074074075
89,0.45448888888888894,0.01697706095080876,0.4125925925925926,0.46925925925925926
90,0.4642296296296297,0.017273668071187957,0.4125925925925926,0.4766666666666668
91,0.4461555555555556,0.012626314281027664,0.4125925925925926,0.4707407407407408
